Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
6.73	1.83	779.5	0.0057
6.73	1.57	820.5	0.0060
13.45	4.06	1495.3	0.0110
13.45	4.27	1461.8	0.0107
20.18	5.93	2268.6	0.0166
20.18	6.36	2200.3	0.0161
26.90	8.39	2948.7	0.0216
26.90	8.41	2944.8	0.0216
33.63	10.36	3705.1	0.0271
33.63	10.30	3715.0	0.0272
