Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
7.16	5.13	323.0	0.0024
7.16	4.87	365.4	0.0027
14.30	10.20	652.0	0.0048
14.30	10.05	677.2	0.0050
21.42	14.32	1130.1	0.0083
21.42	14.77	1058.5	0.0078
28.51	19.18	1486.0	0.0109
28.51	19.74	1397.2	0.0102
35.59	24.71	1733.7	0.0127
35.59	24.37	1787.2	0.0131
