Initial DOC (ppm)	Avg. equil. DOC (mg OC/L) (blank-corrected)	Equil. sorbed (ug OC/g dry FeS)	OC:Fe molar ratio
5.48	2.09	540.4	0.0040
5.48	1.85	578.1	0.0042
10.97	3.77	1146.8	0.0084
10.97	4.01	1107.3	0.0081
16.45	5.71	1710.4	0.0125
16.45	5.80	1695.7	0.0124
21.93	8.09	2204.8	0.0162
21.93	8.06	2208.8	0.0162
27.42	9.33	2880.3	0.0211
27.42	9.87	2794.7	0.0205
