;May27_TPC_0-08-02_LMW_salt;May27_TPC_0-08-02_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,13566;-0,0006468659;
652,284;0,1349682;-0,0004895952;
654,148;0,1343892;-0,0002268444;
656,011;0,1333853;-0,0003961347;
657,875;0,132436;-0,0005178737;
659,739;0,1315533;-0,0005801133;
661,602;0,1307432;-0,0005765892;
663,466;0,1299619;-0,0005511227;
665,330;0,1289264;-0,0007866867;
667,193;0,128992;7,223711E-5;
669,057;0,1303033;0,002170229;
670,921;0,129654;0,002301074;
672,784;0,129393;0,0028137;
674,648;0,1291933;0,003381227;
676,512;0,1290728;0,00402169;
678,375;0,1289917;0,004695195;
680,239;0,129444;0,005895939;
682,103;0,1295974;0,006791735;
683,966;0,129757;0,007687568;
685,830;0,1297747;0,008435593;
687,694;0,1300046;0,009389853;
689,557;0,1298674;0,009971072;
691,421;0,1299226;0,01073895;
693,285;0,1302567;0,01177999;
695,149;0,1305658;0,0127904;
697,012;0,1303962;0,01331642;
698,876;0,1299662;0,01357648;
700,740;0,1291885;0,01348338;
702,603;0,1284479;0,013422;
704,467;0,1277677;0,01341553;
706,331;0,1273108;0,01362712;
708,194;0,1268837;0,01386314;
710,058;0,126468;0,01410539;
711,922;0,1257676;0,01405782;
713,785;0,1252925;0,01423043;
715,649;0,1245704;0,01415089;
717,513;0,1236518;0,01386997;
719,376;0,1227982;0,01364899;
721,240;0,1221397;0,01361836;
723,104;0,1213562;0,01345775;
724,967;0,1207116;0,01343129;
726,831;0,1198897;0,01322282;
728,695;0,1189579;0,01289971;
730,558;0,1180482;0,01259403;
732,422;0,117346;0,01249124;
734,286;0,1164997;0,01223983;
736,149;0,115677;0,01200749;
738,013;0,1149488;0,01186522;
739,877;0,1141098;0,01160762;
741,740;0,113147;0,01122195;
743,604;0,1124633;0,01111101;
745,468;0,1117133;0,01092948;
747,331;0,1107873;0,0105677;
749,195;0,1100499;0,01039038;
751,059;0,1095593;0,0104556;
752,922;0,1091533;0,01060131;
754,786;0,108926;0,0109217;
756,650;0,1091694;0,01170876;
758,513;0,1094358;0,01251471;
760,377;0,1092844;0,01289892;
762,241;0,1090769;0,0132232;
764,104;0,1091273;0,01380142;
765,968;0,1091704;0,01436849;
767,832;0,1084289;0,01414713;
769,695;0,107101;0,01333572;
771,559;0,1059784;0,01272576;
773,423;0,1057431;0,01299945;
775,286;0,1065644;0,01432601;
777,150;0,1079717;0,01623498;
779,014;0,1089656;0,01772693;
780,877;0,1081421;0,01739794;
782,741;0,1046969;0,0144437;
784,605;0,1005422;0,01077653;
786,468;0,09776838;0,008486728;
788,332;0,09651504;0,007713988;
790,196;0,09567538;0,007351525;
792,059;0,09504423;0,00719421;
793,923;0,09447007;0,007090558;
795,787;0,09380193;0,006889619;
797,650;0,09306916;0,006620771;
799,514;0,09259158;0,006603885;
801,378;0,09216138;0,006631157;
803,241;0,09182363;0,006747714;
805,105;0,09146491;0,006840138;
806,969;0,09134595;0,007169196;
808,832;0,09153114;0,007799323;
810,696;0,09179605;0,0085061;
812,560;0,09216895;0,00931783;
814,423;0,09300131;0,01058601;
816,287;0,09396396;0,0119815;
818,151;0,09470225;0,01314967;
820,014;0,09485261;0,01372698;
821,878;0,09461611;0,01391454;
823,742;0,09456522;0,01428483;
825,605;0,09505248;0,01519043;
827,469;0,09377683;0,01433029;
829,333;0,08976975;0,01073591;
831,196;0,08569611;0,007072212;
833,060;0,08321719;0,005000476;
834,924;0,08188234;0,004070094;
836,787;0,08088349;0,003473014;
838,651;0,07977714;0,002765745;
840,515;0,0787839;0,002168951;
842,378;0,07797594;0,001754797;
844,242;0,07730634;0,0014764;
846,106;0,07686724;0,001425922;
847,969;0,07667682;0,001621571;
849,833;0,07631922;0,001647501;
851,697;0,07587934;0,001588629;
853,560;0,07557785;0,001665658;
855,424;0,07553019;0,001994045;
857,288;0,07581602;0,002653467;
859,151;0,07677338;0,003982003;
861,015;0,07835077;0,005928146;
862,879;0,08082077;0,008764524;
864,742;0,0836896;0,01199737;
866,606;0,0854366;0,01410602;
868,470;0,08536078;0,01438954;
870,333;0,08429323;0,01367902;
872,197;0,08341246;0,013153;
874,061;0,08372529;0,01381831;
875,924;0,08551297;0,01595621;
877,788;0,08813334;0,01892459;
879,652;0,09056895;0,02170599;
881,515;0,08981244;0,02129308;
883,379;0,08377706;0,01559913;
885,243;0,07673499;0,008896326;
887,106;0,07199058;0,004489055;
888,970;0,06898108;0,001814576;
890,834;0,06676565;-6,793161E-5;
892,697;0,06520225;-0,001300491;
894,561;0,06405559;-0,002118379;
896,425;0,06325459;-0,002592656;
898,288;0,0626015;-0,002921055;
900,152;0,06205421;-0,003145669;
902,016;0,06157707;-0,003302134;
903,879;0,06126301;-0,003297495;
905,743;0,06109409;-0,003149684;
907,607;0,06101442;-0,002914572;
909,470;0,06095034;-0,002665793;
911,334;0,06100784;-0,002297363;
913,198;0,06110393;-0,001892241;
915,061;0,06136154;-0,001327488;
916,925;0,06166603;-0,0007177265;
918,789;0,06194903;-0,0001313058;
920,652;0,06243242;0,0006536614;
922,516;0,06297169;0,001492678;
924,380;0,06335936;0,002178294;
926,243;0,06366956;0,002784635;
928,107;0,06378436;0,003193793;
929,971;0,06365782;0,003359849;
931,834;0,06347087;0,003463738;
933,698;0,06331275;0,00359472;
935,562;0,0631147;0,003684039;
937,425;0,06291356;0,003768562;
939,289;0,06274069;0,003879662;
941,153;0,06269421;0,004115451;
