;May12_TPC_02-08-0_LMW_salt;May12_TPC_02-08-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,03952022;0,004734231;
652,284;0,03908039;0,004446074;
654,148;0,0386036;0,004119668;
656,011;0,0381326;0,003797768;
657,875;0,03750421;0,003317216;
659,739;0,03690127;0,002860864;
661,602;0,03640414;0,00250908;
663,466;0,03598504;0,0022341;
665,330;0,03533456;0,001726542;
667,193;0,0350852;0,001618895;
669,057;0,03496768;0,001641911;
670,921;0,03412271;0,0009363069;
672,784;0,03341637;0,0003681816;
674,648;0,03279502;-0,000116104;
676,512;0,03250909;-0,0002660922;
678,375;0,03247135;-0,0001690204;
680,239;0,03253379;2,71359E-5;
682,103;0,03232831;-4,573108E-5;
683,966;0,03218236;-6,015228E-5;
685,830;0,03221329;0,0001012392;
687,694;0,03224443;0,000261791;
689,557;0,03222997;0,0003756805;
691,421;0,03227139;0,0005444185;
693,285;0,03234154;0,0007408655;
695,149;0,0325033;0,001027905;
697,012;0,0325269;0,001175775;
698,876;0,03257342;0,001345581;
700,740;0,03262983;0,001524292;
702,603;0,03268969;0,00170548;
704,467;0,03272021;0,001856368;
706,331;0,03271314;0,001968709;
708,194;0,03264611;0,00202016;
710,058;0,03261905;0,002110635;
711,922;0,03290583;0,002514041;
713,785;0,03353768;0,003261598;
715,649;0,03381729;0,003656014;
717,513;0,03328917;0,003241804;
719,376;0,03269238;0,002758043;
721,240;0,03259529;0,002773103;
723,104;0,03271537;0,003004475;
724,967;0,03268513;0,003084662;
726,831;0,03243802;0,002947134;
728,695;0,03219681;0,002814659;
730,558;0,0321573;0,002883059;
732,422;0,03212404;0,002956893;
734,286;0,031866;0,002805118;
736,149;0,03172953;0,002774122;
738,013;0,03152466;0,002673923;
739,877;0,03131411;0,00256725;
741,740;0,03118311;0,002539344;
743,604;0,0311077;0,002566258;
745,468;0,03099597;0,002556082;
747,331;0,03096218;0,002623095;
749,195;0,03095553;0,002716488;
751,059;0,03088814;0,002748398;
752,922;0,03083506;0,002793882;
754,786;0,03093846;0,002995126;
756,650;0,03090234;0,003056114;
758,513;0,03085789;0,003108066;
760,377;0,03085308;0,003198949;
762,241;0,03084419;0,003285045;
764,104;0,03080331;0,003338462;
765,968;0,03081112;0,003439888;
767,832;0,03086801;0,003589699;
769,695;0,03098061;0,003794553;
771,559;0,03095058;0,003856111;
773,423;0,03093777;0,003934228;
775,286;0,0308992;0,003985925;
777,150;0,03091332;0,00408967;
779,014;0,03114009;0,004405418;
780,877;0,03130841;0,004662081;
782,741;0,03129021;0,004731591;
784,605;0,03137812;0,004906592;
786,468;0,03143329;0,005048227;
788,332;0,03144999;0,005150792;
790,196;0,03144173;0,005227776;
792,059;0,03140112;0,005271814;
793,923;0,03148854;0,005443289;
795,787;0,03162563;0,005663851;
797,650;0,03179671;0,005917808;
799,514;0,03209359;0,006296991;
801,378;0,03246162;0,006746742;
803,241;0,03283369;0,007199972;
805,105;0,03346963;0,007916513;
806,969;0,03460079;0,009127713;
808,832;0,03647862;0,01108502;
810,696;0,03829142;0,01297676;
812,560;0,03918381;0,01394755;
814,423;0,04152049;0,01636208;
816,287;0,0469575;0,02187642;
818,151;0,05742581;0,03242153;
820,014;0,0777647;0,05283669;
821,878;0,1111826;0,0863304;
823,742;0,1394072;0,1146302;
825,605;0,1263485;0,1016462;
827,469;0,08392554;0,05929749;
829,333;0,05398339;0,02942907;
831,196;0,04439687;0,01991579;
833,060;0,04349773;0,01908939;
834,924;0,04241303;0,01807695;
836,787;0,03823671;0,01397241;
838,651;0,03313791;0,0089449;
840,515;0,03026638;0,006144196;
842,378;0,02944346;0,005391629;
844,242;0,02947344;0,005491491;
846,106;0,02978079;0,005868271;
847,969;0,03018419;0,006340642;
849,833;0,03068858;0,006913549;
851,697;0,03125477;0,007547801;
853,560;0,03197739;0,008338042;
855,424;0,03268538;0,009113218;
857,288;0,03324259;0,009737172;
859,151;0,03359638;0,01015727;
861,015;0,03379395;0,01042071;
862,879;0,03387631;0,01056853;
864,742;0,03373973;0,01049698;
866,606;0,03346946;0,01029131;
868,470;0,03305721;0,009943257;
870,333;0,03257834;0,009528166;
872,197;0,03207776;0,009090969;
874,061;0,03154971;0,008625888;
875,924;0,03086511;0,008003849;
877,788;0,0302856;0,007486516;
879,652;0,02978704;0,007049725;
881,515;0,02931002;0,006634094;
883,379;0,0288964;0,006281466;
885,243;0,02860389;0,006049562;
887,106;0,02836038;0,005866284;
888,970;0,02825146;0,005817213;
890,834;0,02794202;0,005567251;
892,697;0,02762231;0,005306648;
894,561;0,02743084;0,00517391;
896,425;0,02740563;0,00520707;
898,288;0,02743173;0,005291173;
900,152;0,02755373;0,005470817;
902,016;0,02760285;0,005577225;
903,879;0,02759672;0,005628034;
905,743;0,02765214;0,005740037;
907,607;0,02773795;0,005882084;
909,470;0,0278355;0,006035516;
911,334;0,02790272;0,006158284;
913,198;0,02786898;0,006179752;
915,061;0,02794173;0,006307377;
916,925;0,02810015;0,006520328;
918,789;0,02827584;0,00675023;
920,652;0,02838784;0,006916106;
922,516;0,02851526;0,007097075;
924,380;0,02865751;0,007292546;
926,243;0,02881135;0,007499288;
928,107;0,02912497;0,007865495;
929,971;0,02937702;0,008169818;
931,834;0,02949619;0,00834095;
933,698;0,02972536;0,008621762;
935,562;0,02996095;0,008908694;
937,425;0,03023647;0,009235249;
939,289;0,0305099;0,009559407;
941,153;0,03072764;0,009827572;
943,016;0,03084041;0,009990479;
944,880;0,03107954;0,01027944;
946,744;0,0313663;0,01061573;
948,607;0,03155894;0,01085762;
950,471;0,03171648;0,01106412;
952,335;0,03198224;0,01137856;
954,198;0,03232744;0,01177213;
956,062;0,032637;0,0121298;
957,926;0,03293851;0,01247914;
959,789;0,03339902;0,01298719;
961,653;0,03394868;0,01358412;
963,517;0,03452076;0,01420319;
965,380;0,03500574;0,0147349;
967,244;0,03552939;0,015305;
969,108;0,03608985;0,01591164;
970,972;0,03677143;0,01663915;
972,835;0,03746376;0,01737713;
974,699;0,03814835;0,01810711;
976,563;0,03896299;0,01896688;
978,426;0,03998771;0,02003648;
980,290;0,04097313;0,02106653;
982,154;0,04214128;0,02227904;
984,017;0,0435846;0,02376647;
985,881;0,04538337;0,02560911;
987,745;0,04712914;0,0273985;
989,608;0,04810237;0,0284151;
991,472;0,04763848;0,02799434;
993,336;0,04613114;0,02652988;
995,199;0,04467762;0,025119;
997,063;0,04380887;0,02429266;
998,927;0,04339645;0,02392241;
1000,790;0,04327171;0,0238396;
1002,654;0,04329277;0,02390235;
1004,518;0,04343467;0,02408572;
1006,381;0,04360522;0,02429751;
1008,245;0,0438761;0,02460939;
1010,109;0,04412323;0,0248973;
1011,972;0,04442708;0,02524172;
1013,836;0,04483649;0,02569146;
1015,700;0,0453021;0,02619718;
1017,563;0,04581879;0,02675376;
1019,427;0,04653992;0,02751456;
1021,291;0,04729983;0,02831393;
1023,154;0,04805048;0,02910382;
1025,018;0,04889426;0,02998663;
1026,882;0,04982015;0,03095133;
1028,745;0,05072779;0,03189757;
1030,609;0,0517685;0,03297668;
1032,473;0,05293445;0,03418081;
1034,336;0,0542589;0,03554324;
1036,200;0,05572537;0,03704749;
1038,064;0,05730202;0,03866171;
1039,927;0,05907831;0,04047537;
1041,791;0,06114058;0,0425748;
1043,655;0,06329996;0,04477115;
1045,518;0,06563073;0,04713869;
1047,382;0,06824895;0,0497935;
1049,246;0,07102631;0,05260724;
1051,109;0,0727253;0,05434242;
1052,973;0,07402369;0,0556768;
1054,837;0,07618783;0,05787675;
1056,700;0,07864602;0,06037056;
1058,564;0,08131108;0,06307104;
1060,428;0,08424863;0,06604384;
1062,291;0,08735848;0,06918874;
1064,155;0,09083956;0,0727047;
1066,019;0,09445448;0,07635431;
1067,882;0,09808522;0,08001956;
1069,746;0,1018533;0,08382193;
1071,610;0,1057085;0,08771131;
1073,473;0,1095399;0,09157669;
1075,337;0,1132511;0,09532168;
1077,201;0,1168947;0,09899894;
1079,064;0,1205335;0,1026711;
1080,928;0,1240372;0,1062081;
1082,792;0,1275171;0,1097212;
1084,655;0,1309448;0,1131817;
1086,519;0,13436;0,1166297;
1088,383;0,1375757;0,119878;
1090,246;0,1405445;0,1228792;
1092,110;0,1431015;0,1254685;
1093,974;0,1450994;0,1274985;
1095,837;0,1463079;0,1287389;
1097,701;0,1467463;0,1292091;
1099,565;0,146538;0,1290324;
