;Apr28_TPC_02-04-04_LMW_salt;Apr28_TPC_02-04-04_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
991,472;0,05065864;0,03176241;
993,336;0,05052601;0,03167019;
995,199;0,04997582;0,03116018;
997,063;0,04937978;0,03060409;
998,927;0,04869675;0,0299608;
1000,790;0,04810937;0,02941292;
1002,654;0,04766814;0,02901099;
1004,518;0,04736757;0,02874949;
1006,381;0,0472101;0,02863087;
1008,245;0,04721057;0,02866998;
1010,109;0,04732668;0,02882451;
1011,972;0,0475536;0,02908965;
1013,836;0,04774497;0,02931903;
1015,700;0,04799401;0,02960585;
1017,563;0,04831585;0,02996528;
1019,427;0,04868459;0,0303714;
1021,291;0,04902871;0,0307527;
1023,154;0,0494576;0,03121857;
1025,018;0,04995895;0,03175669;
1026,882;0,05045275;0,03228705;
1028,745;0,05102405;0,03289473;
1030,609;0,05171797;0,03362483;
1032,473;0,05244242;0,03438525;
1034,336;0,05329506;0,03527368;
1036,200;0,05434105;0,03635527;
1038,064;0,05552898;0,0375786;
1039,927;0,05683414;0,03891897;
1041,791;0,05841178;0,04053163;
1043,655;0,06016646;0,04232115;
1045,518;0,06210688;0,04429621;
1047,382;0,06408728;0,04631108;
1049,246;0,06604351;0,0483016;
1051,109;0,06727171;0,04956389;
1052,973;0,06818644;0,05051254;
1054,837;0,06941657;0,05177641;
1056,700;0,07091189;0,05330528;
1058,564;0,07248322;0,05491;
1060,428;0,07425109;0,05671107;
1062,291;0,07629785;0,05879086;
1064,155;0,07866339;0,06118927;
1066,019;0,0813521;0,06391066;
1067,882;0,08429147;0,06688255;
1069,746;0,08747793;0,07010136;
1071,610;0,09104079;0,07369639;
1073,473;0,09486457;0,07755218;
1075,337;0,09892645;0,0816459;
1077,201;0,1030812;0,08583232;
1079,064;0,1072361;0,09001874;
1080,928;0,1114908;0,09430476;
1082,792;0,1157192;0,0985644;
1084,655;0,1197341;0,1026103;
1086,519;0,1235623;0,1064694;
1088,383;0,1270462;0,109984;
1090,246;0,130285;0,1132534;
1092,110;0,1332127;0,1162114;
1093,974;0,1358625;0,1188915;
1095,837;0,1382817;0,1213408;
1097,701;0,1405345;0,1236235;
1099,565;0,1424791;0,1255979;
1101,428;0,1441219;0,1272704;
1103,292;0,1454123;0,1285902;
1105,156;0,1465574;0,1297647;
1107,019;0,147523;0,1307594;
1108,883;0,1483347;0,1316002;
1110,747;0,1488726;0,132167;
1112,610;0,1492111;0,1325343;
1114,474;0,1494376;0,1327893;
1116,338;0,149609;0,1329892;
1118,201;0,1495111;0,1329196;
1120,065;0,1493125;0,1327492;
1121,929;0,1488668;0,1323315;
1123,792;0,1482361;0,1317287;
1125,656;0,1474146;0,1309349;
1127,520;0,1465433;0,1300913;
1129,383;0,1454868;0,1290623;
1131,247;0,1442133;0,1278161;
1133,111;0,1426368;0,1262668;
1134,974;0,1410418;0,1246989;
1136,838;0,1393565;0,1230406;
1138,702;0,1375613;0,1212722;
1140,565;0,1356124;0,1193499;
1142,429;0,1336377;0,1174018;
1144,293;0,1315237;0,1153142;
1146,156;0,1294431;0,1132599;
1148,020;0,1272516;0,1110946;
1149,884;0,1248606;0,1087296;
1151,747;0,1223975;0,1062924;
1153,611;0,1199892;0,1039099;
1155,475;0,117409;0,1013554;
1157,338;0,1148771;0,09884898;
1159,202;0,1124892;0,09648652;
1161,066;0,1100662;0,09408883;
1162,929;0,1075192;0,091567;
1164,793;0,1048548;0,08892768;
1166,657;0,1021083;0,08620606;
1168,520;0,09935587;0,08347846;
1170,384;0,0966223;0,08076958;
1172,248;0,09390179;0,07807364;
1174,111;0,0912543;0,07545061;
1175,975;0,08875888;0,07297954;
1177,839;0,08623175;0,07047663;
1179,702;0,08373889;0,06800789;
1181,566;0,08129737;0,06559037;
1183,430;0,07888429;0,06320117;
1185,293;0,07653262;0,06087328;
1187,157;0,07425023;0,05861454;
1189,021;0,07190817;0,05629603;
1190,884;0,06956583;0,05397713;
1192,748;0,06722494;0,05165957;
1194,612;0,06490486;0,04936271;
1196,475;0,06259807;0,04707903;
1198,339;0,06039372;0,04489768;
1200,203;0,05820299;0,04272986;
1202,066;0,05614215;0,0406918;
1203,930;0,05427304;0,03884537;
1205,794;0,05257719;0,03717211;
1207,657;0,05101386;0,03563125;
1209,521;0,04971813;0,03435789;
1211,385;0,04865408;0,03331611;
1213,248;0,04778358;0,03246778;
1215,112;0,04713643;0,03184269;
1216,976;0,04668265;0,03141088;
1218,839;0,04622138;0,03097146;
1220,703;0,04588451;0,03065635;
1222,567;0,04570209;0,0304956;
1224,430;0,04562887;0,03044394;
1226,294;0,04556436;0,03040089;
1228,158;0,04547249;0,03033039;
1230,021;0,04550145;0,03038063;
1231,885;0,04563624;0,03053659;
1233,749;0,045808;0,03072942;
1235,612;0,04601433;0,03095673;
1237,476;0,04625119;0,03121449;
1239,340;0,04651744;0,03150153;
1241,203;0,04677283;0,03177762;
1243,067;0,04713556;0,03216096;
1244,931;0,04769836;0,03274427;
1246,795;0,04825523;0,03332156;
1248,658;0,0487513;0,03383797;
1250,522;0,04929256;0,03439947;
1252,386;0,04983837;0,03496542;
1254,249;0,05045404;0,03560116;
1256,113;0,05103458;0,03620167;
1257,977;0,05171482;0,03690179;
1259,840;0,05254384;0,0377506;
1261,704;0,05338918;0,03861565;
1263,568;0,05417043;0,03941653;
1265,431;0,05497951;0,04024514;
1267,295;0,05586857;0,04115364;
1269,159;0,05680702;0,04211146;
1271,022;0,0578233;0,04314701;
1272,886;0,0588423;0,0441852;
1274,750;0,05981241;0,04517442;
1276,613;0,06084143;0,04622246;
1278,477;0,06189184;0,04729181;
1280,341;0,06297181;0,04839064;
1282,204;0,06409739;0,049535;
1284,068;0,06531146;0,05076776;
1285,932;0,06663462;0,05210954;
1287,795;0,06812881;0,05362225;
1289,659;0,06962398;0,05513588;
1291,523;0,07112091;0,05665118;
1293,386;0,07269069;0,05823925;
1295,250;0,07438238;0,05994916;
1297,114;0,07624203;0,06182694;
1298,977;0,07811692;0,06371989;
1300,841;0,08004661;0,06566756;
1302,705;0,08204533;0,06768418;
1304,568;0,08405856;0,06971524;
1306,432;0,08620092;0,07187535;
1308,296;0,0883725;0,0740646;
1310,159;0,09046171;0,07617141;
1312,023;0,09258499;0,07831222;
1313,887;0,09488935;0,08063402;
1315,750;0,0969259;0,08268795;
1317,614;0,09911368;0,08489303;
1319,478;0,1015762;0,08737273;
1321,341;0,1037176;0,08953131;
1323,205;0,1056479;0,09147871;
1325,069;0,1077808;0,09362863;
1326,932;0,1099466;0,09581136;
1328,796;0,1121667;0,09804833;
1330,660;0,1143912;0,1002896;
1332,523;0,1166595;0,1025747;
1334,387;0,1187349;0,1046667;
1336,251;0,1210377;0,1069861;
1338,114;0,1244813;0,1104462;
1339,978;0,1290109;0,1149923;
1341,842;0,1323423;0,11834;
1343,705;0,1351672;0,1211813;
1345,569;0,1388757;0,124906;
1347,433;0,1428127;0,1288592;
1349,296;0,1466007;0,1326633;
1351,160;0,1499291;0,1360078;
1353,024;0,1527805;0,1388751;
1354,887;0,1556677;0,1417783;
1356,751;0,1582038;0,1443302;
1358,615;0,1603114;0,1464536;
1360,478;0,163071;0,1492289;
1362,342;0,167752;0,1539255;
1364,206;0,1720425;0,1582316;
1366,069;0,1739427;0,1601473;
1367,933;0,1765605;0,1627805;
1369,797;0,1797449;0,1659804;
1371,660;0,181634;0,1678848;
1373,524;0,1837574;0,1700235;
1375,388;0,1849548;0,1712361;
1377,251;0,1820642;0,1683606;
1379,115;0,1775434;0,1638549;
1380,979;0,1724792;0,1588058;
1382,842;0,166782;0,1531236;
1384,706;0,1609031;0,1472596;
1386,570;0,1557208;0,1420921;
1388,433;0,1516443;0,1380304;
1390,297;0,1468033;0,1332041;
1392,161;0,1418274;0,1282428;
1394,024;0,1379605;0,1243906;
1395,888;0,1353371;0,1217817;
1397,752;0,1319761;0,1184352;
1399,615;0,1288723;0,1153458;
1401,479;0,1253716;0,1118595;
1403,343;0,1215489;0,1080511;
1405,206;0,118652;0,1051685;
1407,070;0,1155577;0,1020884;
1408,934;0,1120493;0,09859417;
1410,797;0,1087565;0,09531548;
1412,661;0,105387;0,09195994;
1414,525;0,1015613;0,08814826;
1416,388;0,09783001;0,0844309;
1418,252;0,09494361;0,08155837;
1420,116;0,09266311;0,07929169;
1421,979;0,08922541;0,07586775;
1423,843;0,08568928;0,07234533;
1425,707;0,08257834;0,06924805;
1427,570;0,0798205;0,0665038;
1429,434;0,07905061;0,06574746;
1431,298;0,07930349;0,06601384;
1433,161;0,07713858;0,06386238;
1435,025;0,07311694;0,05985413;
1436,889;0,0696126;0,05636312;
1438,752;0,06663077;0,05339457;
1440,616;0,06336334;0,05014038;
1442,480;0,06027713;0,04706736;
1444,343;0,05726953;0,04407289;
1446,207;0,05440568;0,04122213;
1448,071;0,05170816;0,03853764;
1449,934;0,04903714;0,03587959;
1451,798;0,04623224;0,03308763;
1453,662;0,04389794;0,03076621;
1455,525;0,04248257;0,02936366;
1457,389;0,04308997;0,02998385;
1459,253;0,04261605;0,02952266;
1461,116;0,04105423;0,02797353;
1462,980;0,03990619;0,02683813;
1464,844;0,03973572;0,02668024;
1466,707;0,03920306;0,02616012;
1468,571;0,0379198;0,02488936;
1470,435;0,03684621;0,02382822;
1472,298;0,03690837;0,02390277;
1474,162;0,03718318;0,02418994;
1476,026;0,03662146;0,02364052;
1477,889;0,03601161;0,02304293;
1479,753;0,03535849;0,02240202;
1481,617;0,03506504;0,02212073;
1483,480;0,03465484;0,02172265;
1485,344;0,03405985;0,02113974;
1487,208;0,03393456;0,02102648;
1489,071;0,03445205;0,02155595;
1490,935;0,03474265;0,02185849;
1492,799;0,03378121;0,02090895;
1494,662;0,03293085;0,02007044;
1496,526;0,03335211;0,0205035;
1498,390;0,03373696;0,02090011;
1500,253;0,03317185;0,02034672;
1502,117;0,03213663;0,01932318;
1503,981;0,03097464;0,01817281;
1505,844;0,03117586;0,01838562;
1507,708;0,03317435;0,02039566;
1509,572;0,03227818;0,01951099;
1511,435;0,03106654;0,0183108;
1513,299;0,0303333;0,01758898;
1515,163;0,02964154;0,0169086;
1517,026;0,02952306;0,01680146;
1518,890;0,02905056;0,01634025;
1520,754;0,02882445;0,01612539;
1522,618;0,02936812;0,01668026;
1524,481;0,0286328;0,01595611;
1526,345;0,0283032;0,01563764;
1528,209;0,02799559;0,01534111;
1530,072;0,02731331;0,01466988;
1531,936;0,02684209;0,01420966;
1533,800;0,02693581;0,01431434;
1535,663;0,02615286;0,01354233;
1537,527;0,02481472;0,01221507;
1539,391;0,02496038;0,01237157;
1541,254;0,02590484;0,01332684;
1543,118;0,02556296;0,01299573;
1544,982;0,02509609;0,01253959;
1546,845;0,02442038;0,01187457;
1548,709;0,02377193;0,01123677;
1550,573;0,02366749;0,01114294;
1552,436;0,02308919;0,01057522;
1554,300;0,02248825;0,009984815;
1556,164;0,02204273;0,009549791;
1558,027;0,02231894;0,00983646;
1559,891;0,02430589;0,01183384;
1561,755;0,02344126;0,0109796;
1563,618;0,02243136;0,009980041;
1565,482;0,02228411;0,009843106;
1567,346;0,02214279;0,009712062;
1569,209;0,02240508;0,009984588;
1571,073;0,02273746;0,01032717;
