;May31_TPC_06-04-0_LMW_salt;May31_TPC_06-04-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,04802926;0,01906822;
652,284;0,04940068;0,02061855;
654,148;0,05077826;0,02217299;
656,011;0,05125003;0,02281962;
657,875;0,05073788;0,02248036;
659,739;0,04949852;0,02141194;
661,602;0,04831172;0,02039416;
663,466;0,04780159;0,02005115;
665,330;0,04750917;0,01992398;
667,193;0,04733606;0,01991429;
669,057;0,04784903;0,02058886;
670,921;0,04650083;0,01940047;
672,784;0,04343158;0,01648927;
674,648;0,03989945;0,01311344;
676,512;0,03740596;0,01077453;
678,375;0,03596272;0,009484181;
680,239;0,03486148;0,008534165;
682,103;0,03397508;0,007797326;
683,966;0,03342404;0,007394236;
685,830;0,03281111;0,006927652;
687,694;0,03239031;0,006651604;
689,557;0,03216407;0,006568568;
691,421;0,03218234;0,006728496;
693,285;0,03207457;0,006760868;
695,149;0,03187441;0,006699346;
697,012;0,03169521;0,006657312;
698,876;0,03151935;0,00661715;
700,740;0,03141417;0,006646232;
702,603;0,03168298;0,007047891;
704,467;0,03164686;0,007143206;
706,331;0,03144688;0,007073286;
708,194;0,03140888;0,007163978;
710,058;0,03128584;0,007168276;
711,922;0,03164177;0,007650226;
713,785;0,03266338;0,008796531;
715,649;0,03304916;0,009305722;
717,513;0,032181;0,008559686;
719,376;0,03136142;0,007860972;
721,240;0,03121416;0,007833331;
723,104;0,0312974;0,008034964;
724,967;0,03130178;0,008156511;
726,831;0,03099161;0,007962318;
728,695;0,03079151;0,007877015;
730,558;0,03119796;0,008397086;
732,422;0,03119124;0,008502834;
734,286;0,0307965;0,00821943;
736,149;0,03073302;0,008266156;
738,013;0,03092379;0,008566024;
739,877;0,03092457;0,008674802;
741,740;0,03065898;0,008516132;
743,604;0,03054553;0,008508527;
745,468;0,03052482;0,008592609;
747,331;0,03031943;0,008490972;
749,195;0,03038681;0,008661072;
751,059;0,03041057;0,008786528;
752,922;0,03022314;0,008699803;
754,786;0,03036641;0,008942778;
756,650;0,03066995;0,009345047;
758,513;0,03056275;0,009335603;
760,377;0,03029087;0,009160526;
762,241;0,03026944;0,009234946;
764,104;0,03022828;0,009288717;
765,968;0,03020198;0,009356415;
767,832;0,03024245;0,009489983;
769,695;0,03036725;0,009706974;
771,559;0,03040472;0,009835749;
773,423;0,03049878;0,01002024;
775,286;0,03047731;0,01008833;
777,150;0,03040638;0,0101061;
779,014;0,03064699;0,01043456;
780,877;0,03067667;0,01055126;
782,741;0,03053497;0,01049576;
784,605;0,03066545;0,01071161;
786,468;0,03081868;0,01094941;
788,332;0,03098283;0,01119733;
790,196;0,03126966;0,01156714;
792,059;0,03144325;0,01182293;
793,923;0,03145378;0,0119149;
795,787;0,03163483;0,01217662;
797,650;0,03178501;0,01240672;
799,514;0,03212365;0,01282454;
801,378;0,03288726;0,01366658;
803,241;0,03371794;0,01457498;
805,105;0,0346378;0,01557184;
806,969;0,03636598;0,0173763;
808,832;0,03965721;0,02074312;
810,696;0,04257569;0,02373649;
812,560;0,0435787;0,02481371;
814,423;0,04736634;0,02867488;
816,287;0,05715936;0,03854075;
818,151;0,07656502;0,05801861;
820,014;0,1162956;0,09782069;
821,878;0,1855766;0,1671726;
823,742;0,2434555;0,2251217;
825,605;0,2082031;0,189939;
827,469;0,1215063;0,1033112;
829,333;0,06520468;0,04707796;
831,196;0,04433089;0,02627193;
833,060;0,03763645;0,01964465;
834,924;0,03453055;0,01660532;
836,787;0,03277811;0,01491884;
838,651;0,03158776;0,01379388;
840,515;0,03091639;0,01318731;
842,378;0,03046657;0,01280173;
844,242;0,02992648;0,01232531;
846,106;0,02948654;0,01194847;
847,969;0,02932024;0,01184473;
849,833;0,02916163;0,01174813;
851,697;0,02911401;0,01176197;
853,560;0,02898176;0,01169066;
855,424;0,0290457;0,011815;
857,288;0,0291535;0,01198267;
859,151;0,029037;0,01192553;
861,015;0,02890276;0,01185013;
862,879;0,02905195;0,01205766;
864,742;0,02924385;0,0123074;
866,606;0,02924852;0,0123694;
868,470;0,029206;0,01238374;
870,333;0,02922538;0,01245948;
872,197;0,02924651;0,01253649;
874,061;0,02912172;0,0124671;
875,924;0,02905785;0,01245817;
877,788;0,02930392;0,01275871;
879,652;0,02929871;0,01280751;
881,515;0,02926993;0,01283228;
883,379;0,02941175;0,01302721;
885,243;0,02946585;0,01313396;
887,106;0,02959437;0,0133147;
888,970;0,02988597;0,01365807;
890,834;0,03007524;0,01389869;
892,697;0,03009246;0,01396683;
894,561;0,03014846;0,01407332;
896,425;0,03015713;0,01413207;
898,288;0,03031051;0,01433511;
900,152;0,03053757;0,01461141;
902,016;0,03078474;0,01490743;
903,879;0,03100048;0,01517162;
905,743;0,03113587;0,01535505;
907,607;0,03136029;0,01562712;
909,470;0,03153331;0,0158474;
911,334;0,03182774;0,01618871;
913,198;0,031962;0,01636946;
915,061;0,03206614;0,01651972;
916,925;0,03222528;0,01672459;
918,789;0,03240789;0,01695257;
920,652;0,03258054;0,01717023;
922,516;0,03278874;0,01742307;
924,380;0,03311009;0,0177887;
926,243;0,03343813;0,01816067;
928,107;0,03366713;0,01843324;
929,971;0,03400736;0,01881669;
931,834;0,03443482;0,01928703;
933,698;0,03469199;0,01958674;
935,562;0,03488186;0,01981881;
937,425;0,03522088;0,0201997;
939,289;0,0356411;0,02066145;
941,153;0,03609204;0,0211536;
943,016;0,03646089;0,02156333;
944,880;0,03655283;0,02169582;
946,744;0,03682147;0,0220047;
948,607;0,03724915;0,0224723;
950,471;0,03753435;0,02279712;
952,335;0,03784013;0,0231422;
954,198;0,03816819;0,02350925;
956,062;0,03859651;0,02397627;
957,926;0,03900616;0,0244243;
959,789;0,03941906;0,0248753;
961,653;0,03985366;0,0253477;
963,517;0,04040371;0,02593526;
965,380;0,04087913;0,02644789;
967,244;0,04136656;0,02697225;
969,108;0,04193261;0,02757496;
970,972;0,04254696;0,02822568;
972,835;0,04312108;0,02883588;
974,699;0,04371589;0,02946651;
976,563;0,04431921;0,03010537;
978,426;0,04491928;0,0307407;
980,290;0,04564608;0,03150251;
982,154;0,04638694;0,03227811;
984,017;0,04708457;0,03301021;
985,881;0,0478437;0,03380356;
987,745;0,04845858;0,0344524;
989,608;0,04910473;0,03513225;
991,472;0,04978613;0,0358471;
993,336;0,05033343;0,0364276;
995,199;0,0507492;0,03687632;
997,063;0,0511316;0,03729142;
998,927;0,05160853;0,03780081;
1000,790;0,05224016;0,03846465;
1002,654;0,05282663;0,03908311;
1004,518;0,05323828;0,03952651;
1006,381;0,05344145;0,03976118;
1008,245;0,05354971;0,03990071;
1010,109;0,05380274;0,04018479;
1011,972;0,05405654;0,04046941;
1013,836;0,05415431;0,04059777;
1015,700;0,05430596;0,04077979;
1017,563;0,05452884;0,04103282;
1019,427;0,05507463;0,04160853;
1021,291;0,05583472;0,04239832;
1023,154;0,05656353;0,04315663;
1025,018;0,05724995;0,04387232;
1026,882;0,05800247;0,04465391;
1028,745;0,05893062;0,04561092;
1030,609;0,05994383;0,04665277;
1032,473;0,06083189;0,04756926;
1034,336;0,06182506;0,04859067;
1036,200;0,06299501;0,04978866;
1038,064;0,06435298;0,05117446;
1039,927;0,06575578;0,05260489;
1041,791;0,06727979;0,05415633;
1043,655;0,06903617;0,05593995;
1045,518;0,07103257;0,0579634;
1047,382;0,07370161;0,06065929;
1049,246;0,07662682;0,06361116;
1051,109;0,07722564;0,06423646;
1052,973;0,07718294;0,06422005;
1054,837;0,07870288;0,06576608;
1056,700;0,08077612;0,06786525;
1058,564;0,08305863;0,07017349;
1060,428;0,08552566;0,07266607;
1062,291;0,08800415;0,07516994;
1064,155;0,09051268;0,07770367;
1066,019;0,09316748;0,08038349;
1067,882;0,09600761;0,08324847;
1069,746;0,09901019;0,08627572;
1071,610;0,101883;0,08917305;
1073,473;0,1046608;0,0919752;
1075,337;0,1074145;0,09475307;
1077,201;0,1101027;0,0974652;
1079,064;0,1130905;0,1004768;
1080,928;0,1161333;0,1035434;
1082,792;0,1188296;0,1062632;
1084,655;0,121352;0,1088089;
1086,519;0,1236795;0,1111596;
1088,383;0,1253866;0,1128897;
1090,246;0,1266269;0,1141529;
1092,110;0,1277316;0,1152803;
1093,974;0,1286843;0,1162555;
1095,837;0,1293681;0,1169618;
1097,701;0,1300111;0,117627;
1099,565;0,13069;0,118328;
1101,428;0,1311541;0,118814;
1103,292;0,1314047;0,1190864;
1105,156;0,1316373;0,1193407;
1107,019;0,131843;0,1195679;
1108,883;0,1320349;0,1197812;
1110,747;0,1322805;0,120048;
1112,610;0,1323408;0,1201294;
1114,474;0,1320816;0,1198912;
1116,338;0,1319023;0,1197326;
1118,201;0,131873;0,119724;
1120,065;0,1317926;0,1196642;
1121,929;0,1317441;0,119636;
1123,792;0,1317629;0,1196751;
1125,656;0,1316126;0,119545;
1127,520;0,1314118;0,1193641;
1129,383;0,1312798;0,119252;
1131,247;0,13121;0,1192019;
1133,111;0,13098;0,1189915;
1134,974;0,1307802;0,1188112;
1136,838;0,1307147;0,118765;
1138,702;0,130568;0,1186375;
1140,565;0,1305663;0,118655;
1142,429;0,1307201;0,1188276;
1144,293;0,1309152;0,1190416;
1146,156;0,1312298;0,1193749;
1148,020;0,1313087;0,1194724;
1149,884;0,1311385;0,1193207;
1151,747;0,1307015;0,1189021;
1153,611;0,1298791;0,118098;
1155,475;0,1286687;0,1169056;
1157,338;0,1271774;0,1154324;
1159,202;0,1255251;0,113798;
1161,066;0,1241337;0,1124243;
1162,929;0,1228633;0,1111716;
1164,793;0,1215425;0,1098683;
