;May25_TPC_02-06-02_LMW_salt;May25_TPC_02-06-02_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,02347095;0,0005729987;
652,284;0,02348292;0,0006598038;
654,148;0,0234689;0,0007197675;
656,011;0,02343154;0,0007555501;
657,875;0,02333556;0,0007318933;
659,739;0,02306773;0,0005355666;
661,602;0,02291985;0,0004583971;
663,466;0,02319283;0,0008012822;
665,330;0,02328077;0,0009583565;
667,193;0,02322491;0,0009708481;
669,057;0,02356738;0,001380919;
670,921;0,0235335;0,001413892;
672,784;0,02356515;0,001511656;
674,648;0,02328371;0,001295602;
676,512;0,02340441;0,001480963;
678,375;0,02378918;0,001929689;
680,239;0,02397834;0,002182106;
682,103;0,02440268;0,002669012;
683,966;0,02455063;0,002878848;
685,830;0,02432993;0,002719369;
687,694;0,02452111;0,002971099;
689,557;0,02475498;0,003264872;
691,421;0,024971;0,003540152;
693,285;0,02524109;0,003868867;
695,149;0,02543595;0,004121726;
697,012;0,02545656;0,004199714;
698,876;0,02527934;0,004079258;
700,740;0,02543179;0,004287874;
702,603;0,02561356;0,004525213;
704,467;0,02542987;0,004396505;
706,331;0,02547884;0,004499878;
708,194;0,02563536;0,004710235;
710,058;0,02567052;0,004798658;
711,922;0,02561584;0,004796698;
713,785;0,02597615;0,005209171;
715,649;0,02608668;0,005371325;
717,513;0,02567335;0,005009083;
719,376;0,02527974;0,004666029;
721,240;0,0249057;0,004342026;
723,104;0,02481511;0,004300963;
724,967;0,02491617;0,004451041;
726,831;0,02487356;0,004456941;
728,695;0,02478452;0,00441592;
730,558;0,0245986;0,00427753;
732,422;0,02473437;0,004460353;
734,286;0,02488117;0,004653721;
736,149;0,02479661;0,004615266;
738,013;0,02484941;0,004713699;
739,877;0,02490091;0,004810379;
741,740;0,02488477;0,004838958;
743,604;0,02501468;0,005013146;
745,468;0,02509667;0,005138981;
747,331;0,02523245;0,005318155;
749,195;0,02506782;0,005196492;
751,059;0,02517137;0,005342587;
752,922;0,02542006;0,005633401;
754,786;0,0256416;0,005896654;
756,650;0,02584428;0,006140631;
758,513;0,02605125;0,006388492;
760,377;0,02598143;0,006359167;
762,241;0,02606587;0,006483711;
764,104;0,02643842;0,006895963;
765,968;0,02684035;0,007337214;
767,832;0,02678289;0,007318705;
769,695;0,02668966;0,007264035;
771,559;0,02663182;0,007244386;
773,423;0,02656663;0,007217025;
775,286;0,02682655;0,007514412;
777,150;0,02705951;0,007784482;
779,014;0,02702458;0,007786302;
780,877;0,02707796;0,007876081;
782,741;0,02704011;0,007874285;
784,605;0,02701505;0,007884936;
786,468;0,02703574;0,007941007;
788,332;0,02697064;0,007910944;
790,196;0,02687261;0,007847627;
792,059;0,0267229;0,007732311;
793,923;0,02664638;0,007689855;
795,787;0,02665018;0,007727393;
797,650;0,0266182;0,007728849;
799,514;0,02680035;0,007944119;
801,378;0,02695767;0,008134253;
803,241;0,02730138;0,008510473;
805,105;0,02791414;0,009155437;
806,969;0,02900969;0,0102829;
808,832;0,03078044;0,01208527;
810,696;0,0324248;0,01376096;
812,560;0,03317823;0,01454543;
814,423;0,03492976;0,01632772;
816,287;0,03927058;0,02069902;
818,151;0,04811365;0,02957229;
820,014;0,06607557;0,04756413;
821,878;0,09677618;0,07829441;
823,742;0,1251842;0,1067318;
825,605;0,1172189;0,09879561;
827,469;0,07915275;0,06075834;
829,333;0,04903504;0,03066924;
831,196;0,03676473;0,01842728;
833,060;0,03282425;0,01451489;
834,924;0,0304115;0,01212999;
836,787;0,02818473;0,009930812;
838,651;0,02668495;0,008458382;
840,515;0,02603747;0,007838007;
842,378;0,02564484;0,007472254;
844,242;0,0254643;0,007318341;
846,106;0,02556943;0,007449872;
847,969;0,02571912;0,007625732;
849,833;0,02622402;0,008156575;
851,697;0,02689729;0,008855552;
853,560;0,02766779;0,009651539;
855,424;0,02869004;0,01069906;
857,288;0,02947779;0,01151186;
859,151;0,02988068;0,01193958;
861,015;0,03028287;0,01236638;
862,879;0,03062533;0,01273325;
864,742;0,03076827;0,01290038;
866,606;0,03068815;0,01284424;
868,470;0,03057781;0,01275768;
870,333;0,03043991;0,01264336;
872,197;0,03000637;0,0122332;
874,061;0,02943686;0,01168686;
875,924;0,02898732;0,0112603;
877,788;0,02862464;0,01092041;
879,652;0,02814481;0,01046318;
881,515;0,02743862;0,009779388;
883,379;0,02686927;0,009232246;
885,243;0,02667435;0,009059359;
887,106;0,02669288;0,009099726;
888,970;0,02650239;0,008930901;
890,834;0,02576258;0,008212565;
892,697;0,02513508;0,007606367;
894,561;0,02477732;0,007269727;
896,425;0,02451066;0,007024019;
898,288;0,02445345;0,006987577;
900,152;0,02462483;0,007179557;
902,016;0,02469912;0,007274283;
903,879;0,02476247;0,007357894;
905,743;0,02488568;0,007501202;
907,607;0,02491826;0,007553716;
909,470;0,02504838;0,007703603;
911,334;0,02512894;0,00780378;
913,198;0,02516955;0,007863835;
915,061;0,02544643;0,008160009;
916,925;0,02553753;0,008270243;
918,789;0,02562428;0,008375967;
920,652;0,02576183;0,008532345;
922,516;0,02599043;0,008779617;
924,380;0,02617806;0,008985772;
926,243;0,02623759;0,009063673;
928,107;0,0264842;0,009328512;
929,971;0,02680678;0,009669176;
931,834;0,0269897;0,009870037;
933,698;0,02727536;0,01017349;
935,562;0,02747559;0,01039137;
937,425;0,02762832;0,01056161;
939,289;0,02784562;0,01079628;
941,153;0,02800211;0,01097002;
943,016;0,028022;0,011007;
944,880;0,02808418;0,01108615;
946,744;0,02849328;0,01151209;
948,607;0,0288641;0,0118996;
950,471;0,02902609;0,01207817;
952,335;0,02928108;0,0123496;
954,198;0,02955676;0,01264159;
956,062;0,02990839;0,0130094;
957,926;0,03031023;0,0134273;
959,789;0,03063896;0,01377197;
961,653;0,03090365;0,01405247;
963,517;0,03148829;0,0146528;
965,380;0,03194161;0,01512169;
967,244;0,03237421;0,01556974;
969,108;0,03280894;0,0160198;
970,972;0,03311127;0,01633734;
972,835;0,03369873;0,0169399;
974,699;0,03449267;0,01774882;
976,563;0,03520776;0,01847877;
978,426;0,03609019;0,01937596;
980,290;0,03721324;0,02051365;
982,154;0,03874978;0,02206473;
984,017;0,04099882;0,02432818;
985,881;0,04402071;0,02736438;
987,745;0,04748992;0,0308478;
989,608;0,04929104;0,03266302;
991,472;0,04749042;0,03087639;
993,336;0,04344623;0,02684608;
995,199;0,04007288;0,02348653;
997,063;0,03825643;0,02168376;
998,927;0,03749897;0,02093988;
1000,790;0,03733083;0,02078521;
1002,654;0,03739219;0,02085995;
1004,518;0,03772336;0,0212044;
1006,381;0,03826146;0,02175567;
1008,245;0,03877333;0,02228063;
1010,109;0,03915795;0,02267824;
1011,972;0,03967268;0,02320585;
1013,836;0,04028075;0,02382673;
1015,700;0,04099407;0,02455275;
1017,563;0,04147365;0,02504494;
1019,427;0,04191595;0,02549976;
1021,291;0,04258158;0,02617781;
1023,154;0,04333696;0,02694553;
1025,018;0,04408908;0,02770989;
1026,882;0,04489792;0,0285309;
1028,745;0,04562924;0,02927429;
1030,609;0,04647992;0,03013695;
1032,473;0,04739706;0,03106599;
1034,336;0,04844229;0,03212303;
1036,200;0,04966301;0,03335547;
1038,064;0,05099693;0,03470103;
1039,927;0,05249233;0,03620799;
1041,791;0,0541218;0,03784894;
1043,655;0,05570401;0,03944254;
1045,518;0,05740291;0,04115276;
1047,382;0,05938976;0,04315085;
1049,246;0,06145499;0,04522723;
1051,109;0,06270774;0,04649105;
1052,973;0,06372397;0,04751828;
1054,837;0,06515602;0,04896125;
1056,700;0,06683965;0,05065572;
1058,564;0,06892669;0,05275353;
1060,428;0,07103505;0,05487257;
1062,291;0,07349565;0,05734378;
1064,155;0,07650852;0,0603672;
1066,019;0,07984469;0,06371384;
1067,882;0,08336236;0,0672419;
1069,746;0,08716619;0,07105605;
1071,610;0,0913732;0,07527331;
1073,473;0,09581097;0,07972126;
1075,337;0,1001858;0,08410616;
1077,201;0,1043572;0,08828762;
1079,064;0,1087834;0,09272381;
1080,928;0,1136158;0,09756607;
1082,792;0,1185733;0,1025335;
1084,655;0,1237141;0,107684;
1086,519;0,128864;0,1128436;
1088,383;0,1335575;0,1175467;
1090,246;0,1375128;0,1215116;
1092,110;0,1405655;0,1245738;
1093,974;0,1425615;0,1265793;
1095,837;0,1432617;0,1272888;
1097,701;0,1427979;0,1268343;
1099,565;0,1412507;0,1252964;
1101,428;0,1391033;0,1231582;
1103,292;0,1368215;0,1208854;
1105,156;0,1346846;0,1187576;
1107,019;0,1328616;0,1169436;
1108,883;0,131134;0,115225;
1110,747;0,129301;0,1134008;
1112,610;0,1273433;0,111452;
1114,474;0,1254943;0,1096117;
1116,338;0,1236247;0,1077508;
1118,201;0,1216856;0,1058204;
1120,065;0,1198282;0,1039715;
1121,929;0,1180323;0,1021843;
1123,792;0,1163073;0,1004677;
1125,656;0,1145102;0,09867894;
1127,520;0,1130471;0,09722428;
1129,383;0,1118466;0,09603202;
1131,247;0,1107792;0,09497294;
1133,111;0,1098179;0,0940198;
1134,974;0,1090406;0,09325066;
1136,838;0,108552;0,09277012;
1138,702;0,1079352;0,09216135;
1140,565;0,1070623;0,09129648;
1142,429;0,1062362;0,09047827;
1144,293;0,1053513;0,08960125;
1146,156;0,1043647;0,08862247;
1148,020;0,1033084;0,08757401;
1149,884;0,1021101;0,08638342;
1151,747;0,1006008;0,08488181;
1153,611;0,09883905;0,08312768;
1155,475;0,09708978;0,08138599;
1157,338;0,09547548;0,07977923;
1159,202;0,09430297;0,07861421;
1161,066;0,0938366;0,07815527;
1162,929;0,09351953;0,07784559;
1164,793;0,0930339;0,0773673;
1166,657;0,09232893;0,07666963;
1168,520;0,09164157;0,07598951;
1170,384;0,09105727;0,07541241;
1172,248;0,09030554;0,07466784;
1174,111;0,08962962;0,07399903;
1175,975;0,08912135;0,07349783;
1177,839;0,08858936;0,07297286;
1179,702;0,08797703;0,07236751;
1181,566;0,08729046;0,07168786;
1183,430;0,08663269;0,07103699;
1185,293;0,08573738;0,07014852;
1187,157;0,08452209;0,06894004;
1189,021;0,08325024;0,06767494;
1190,884;0,08182322;0,06625464;
1192,748;0,08022233;0,06466044;
1194,612;0,07879916;0,0632439;
1196,475;0,07744826;0,06189959;
1198,339;0,07593939;0,06039728;
1200,203;0,07431488;0,05877927;
1202,066;0,07264842;0,05711929;
1203,930;0,07113091;0,0556082;
1205,794;0,06955205;0,05403574;
1207,657;0,06771934;0,05220938;
1209,521;0,06608087;0,05057723;
1211,385;0,06454688;0,04904951;
1213,248;0,06308364;0,0475925;
1215,112;0,06184108;0,04635615;
1216,976;0,06069854;0,04521977;
1218,839;0,05973762;0,04426497;
1220,703;0,05884497;0,0433784;
1222,567;0,05812735;0,04266683;
1224,430;0,05770791;0,0422534;
1226,294;0,05738937;0,04194083;
1228,158;0,05721047;0,04176787;
1230,021;0,05712073;0,04168404;
1231,885;0,05735997;0,04192914;
1233,749;0,05776267;0,04233768;
1235,612;0,05822636;0,04280716;
1237,476;0,05870779;0,04329435;
1239,340;0,05921274;0,04380503;
1241,203;0,05988517;0,04448315;
1243,067;0,06066759;0,04527123;
1244,931;0,0613851;0,04599436;
1246,795;0,06211404;0,0467289;
1248,658;0,06285948;0,04747989;
1250,522;0,06370187;0,04832781;
1252,386;0,06452031;0,04915174;
1254,249;0,06537902;0,05001591;
1256,113;0,06635263;0,05099494;
1257,977;0,06736348;0,05201119;
1259,840;0,0684786;0,05313167;
1261,704;0,06958253;0,05424094;
1263,568;0,07060205;0,05526576;
1265,431;0,0717146;0,05638358;
1267,295;0,07301904;0,05769325;
1269,159;0,07436436;0,05904378;
1271,022;0,07568263;0,06036722;
1272,886;0,07706072;0,06175046;
1274,750;0,07847041;0,06316527;
1276,613;0,07991982;0,06461976;
1278,477;0,08141553;0,06612053;
1280,341;0,08300904;0,06771906;
1282,204;0,08467955;0,06939457;
1284,068;0,0863641;0,07108409;
1285,932;0,08815764;0,07288257;
1287,795;0,09004154;0,07477139;
1289,659;0,09195769;0,07669242;
1291,523;0,09402186;0,07876144;
1293,386;0,09600183;0,08074624;
1295,250;0,098067;0,08281621;
1297,114;0,1001352;0,0848892;
1298,977;0,1023365;0,08709518;
1300,841;0,1047937;0,08955713;
1302,705;0,1072243;0,09199243;
1304,568;0,1094521;0,09422492;
1306,432;0,1119047;0,09668211;
1308,296;0,1144987;0,09928074;
1310,159;0,1171665;0,1019532;
1312,023;0,1200035;0,1047947;
1313,887;0,1228289;0,1076246;
1315,750;0,1256364;0,1104367;
1317,614;0,1288178;0,1136225;
1319,478;0,1320629;0,1168721;
1321,341;0,1351244;0,119938;
1323,205;0,1381799;0,1229979;
1325,069;0,1413092;0,1261316;
1326,932;0,1446318;0,1294585;
1328,796;0,1480978;0,1329289;
1330,660;0,1514541;0,1362895;
1332,523;0,1548057;0,1396454;
1334,387;0,1583418;0,1431857;
1336,251;0,1621028;0,146951;
1338,114;0,1666985;0,1515509;
1339,978;0,1716147;0,1564713;
1341,842;0,1757861;0,1606469;
1343,705;0,1800056;0,1648705;
1345,569;0,1847897;0,1696587;
1347,433;0,189741;0,1746141;
1349,296;0,194748;0,1796252;
1351,160;0,1995162;0,1843974;
1353,024;0,2040406;0,1889259;
1354,887;0,2083438;0,193233;
1356,751;0,2122995;0,1971928;
1358,615;0,2166157;0,2015129;
1360,478;0,2220236;0,2069247;
1362,342;0,2275068;0,2124119;
1364,206;0,2315526;0,2164616;
1366,069;0,2360133;0,2209262;
1367,933;0,2412213;0,226138;
1369,797;0,2455109;0,2304314;
1371,660;0,2501879;0,2351123;
1373,524;0,2535955;0,2385237;
1375,388;0,2514872;0,2364192;
1377,251;0,2467006;0,2316363;
1379,115;0,2399939;0,2249334;
1380,979;0,2311981;0,2161413;
1382,842;0,2221619;0,2071087;
1384,706;0,2133442;0,1982947;
1386,570;0,2043511;0,1893053;
1388,433;0,1936743;0,1786321;
1390,297;0,1855371;0,1704985;
1392,161;0,1794879;0,1644529;
1394,024;0,1738431;0,1588117;
1395,888;0,1668647;0,1518368;
1397,752;0,1609745;0,1459502;
1399,615;0,1546012;0,1395804;
1401,479;0,1489436;0,1339263;
1403,343;0,1448453;0,1298315;
1405,206;0,13958;0,1245696;
1407,070;0,1341508;0,1191439;
1408,934;0,1295775;0,114574;
1410,797;0,1245957;0,1095957;
1412,661;0,1197025;0,1047059;
1414,525;0,1153844;0,1003911;
1416,388;0,1115965;0,09660653;
1418,252;0,1073757;0,09238911;
1420,116;0,1013853;0,08640197;
1421,979;0,09671195;0,08173196;
1423,843;0,09230525;0,07732855;
1425,707;0,08731638;0,07234295;
1427,570;0,08411643;0,06914624;
1429,434;0,08303941;0,06807246;
1431,298;0,08372943;0,0687657;
1433,161;0,08240268;0,06744215;
1435,025;0,07851774;0,06356039;
1436,889;0,07202177;0,0570676;
1438,752;0,06620438;0,05125336;
1440,616;0,06217959;0,04723171;
1442,480;0,05790316;0,04295839;
1444,343;0,05366491;0,03872325;
1446,207;0,04958765;0,03464907;
1448,071;0,04498624;0,03005073;
1449,934;0,04072228;0,02578982;
1451,798;0,03744348;0,02251407;
1453,662;0,03488371;0,01995733;
1455,525;0,03350308;0,0185797;
1457,389;0,03275195;0,01783157;
1459,253;0,03160227;0,01668486;
1461,116;0,0306005;0,01568606;
1462,980;0,0301474;0,01523591;
1464,844;0,02998404;0,01507548;
1466,707;0,02951869;0,01461305;
1468,571;0,02901354;0,0141108;
1470,435;0,02885947;0,01395962;
1472,298;0,02896566;0,01406868;
1474,162;0,0287439;0,01384978;
1476,026;0,02821335;0,01332207;
1477,889;0,02775684;0,01286839;
1479,753;0,02753415;0,01264853;
1481,617;0,02728761;0,01240478;
1483,480;0,02691243;0,0120324;
1485,344;0,02647685;0,01159959;
1487,208;0,02632864;0,01145414;
1489,071;0,02626113;0,01138938;
1490,935;0,02577674;0,01090772;
1492,799;0,02511123;0,01024493;
1494,662;0,02465514;0,009791543;
1496,526;0,02451624;0,009655339;
1498,390;0,02418431;0,009326085;
1500,253;0,02351053;0,008654973;
1502,117;0,02289387;0,008040963;
1503,981;0,02251218;0,007661914;
1505,844;0,02269105;0,007843404;
1507,708;0,02271857;0,007873538;
1509,572;0,0216863;0,006843876;
1511,435;0,02077513;0,005935285;
1513,299;0,02010692;0,005269653;
1515,163;0,01966299;0,004828288;
1517,026;0,01924549;0,004413333;
1518,890;0,01893008;0,004100462;
1520,754;0,01873316;0,003906072;
1522,618;0,01829346;0,003468879;
1524,481;0,01771741;0,002895333;
1526,345;0,01718228;0,002362689;
1528,209;0,0167298;0,001912685;
1530,072;0,01624429;0,001429642;
1531,936;0,01599473;0,001182529;
1533,800;0,01571887;0,000909112;
1535,663;0,01526006;0,0004527249;
1537,527;0,01485314;4,822414E-5;
1539,391;0,01485084;4,833139E-5;
1541,254;0,0146605;-0,0001396213;
1543,118;0,0143781;-0,0004196398;
1544,982;0,01402131;-0,0007740547;
1546,845;0,01365247;-0,001140537;
1548,709;0,0134469;-0,001343762;
1550,573;0,01341307;-0,001375254;
1552,436;0,01322772;-0,001558283;
