;May11_TPC_04-04-02_LMW_salt;May11_TPC_04-04-02_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,03828022;-0,003499927;
652,284;0,0382858;-0,00332269;
654,148;0,03824579;-0,003192499;
656,011;0,03835504;-0,002914512;
657,875;0,03861433;-0,002487904;
659,739;0,03858742;-0,002348917;
661,602;0,03845462;-0,002317223;
663,466;0,03882721;-0,001781518;
665,330;0,0389301;-0,001516885;
667,193;0,03885154;-0,001435052;
669,057;0,0390516;-0,001075942;
670,921;0,03884905;-0,001120771;
672,784;0,03894485;-0,0008685517;
674,648;0,03911574;-0,0005425314;
676,512;0,03882423;-0,0006801977;
678,375;0,03844885;-0,0009030054;
680,239;0,03827603;-0,0009244968;
682,103;0,03822532;-0,0008251213;
683,966;0,03839109;-0,0005104868;
685,830;0,03887262;0,0001186938;
687,694;0,03934109;0,0007336173;
689,557;0,03935678;0,000894569;
691,421;0,03939047;0,001072357;
693,285;0,0390496;0,0008744154;
695,149;0,03895551;0,0009221122;
697,012;0,03891567;0,001022915;
698,876;0,03878802;0,001034794;
700,740;0,03864917;0,001034351;
702,603;0,03871558;0,00123808;
704,467;0,03884987;0,001508594;
706,331;0,03891456;0,001708426;
708,194;0,03877998;0,001707927;
710,058;0,03851266;0,001573641;
711,922;0,03838466;0,001577621;
713,785;0,03849258;0,001816495;
715,649;0,03879243;0,002246269;
717,513;0,03859764;0,002180402;
719,376;0,03759995;0,001310626;
721,240;0,03702438;0,0008619923;
723,104;0,0371298;0,001093358;
724,967;0,03699915;0,001087688;
726,831;0,03680622;0,001018771;
728,695;0,03694853;0,001284145;
730,558;0,03685965;0,001317394;
732,422;0,03676161;0,001340547;
734,286;0,03661969;0,001318907;
736,149;0,03655377;0,001372346;
738,013;0,03655842;0,00149545;
739,877;0,0365319;0,001586501;
741,740;0,0365587;0,001729975;
743,604;0,03686041;0,00214749;
745,468;0,03685011;0,002252127;
747,331;0,03679543;0,002311519;
749,195;0,03687514;0,002504457;
751,059;0,03704693;0,002788633;
752,922;0,03731811;0,003171365;
754,786;0,03742171;0,003385692;
756,650;0,03775535;0,003829245;
758,513;0,03815335;0,004336339;
760,377;0,03831937;0,004610656;
762,241;0,0388698;0,005268589;
764,104;0,03944279;0,005948306;
765,968;0,03989508;0,006506534;
767,832;0,04003089;0,006747517;
769,695;0,03957077;0,006391798;
771,559;0,03886222;0,005786902;
773,423;0,03833093;0,005358523;
775,286;0,03797991;0,005109661;
777,150;0,0378477;0,005078879;
779,014;0,03788429;0,005216175;
780,877;0,03816855;0,005600417;
782,741;0,03841966;0,005950788;
784,605;0,03812723;0,005756918;
786,468;0,03776704;0,005494593;
788,332;0,03756416;0,005388886;
790,196;0,03747885;0,005400054;
792,059;0,03728608;0,005303086;
793,923;0,03728942;0,005401555;
795,787;0,0373498;0,00555639;
797,650;0,03715556;0,005455949;
799,514;0,03702342;0,005416956;
801,378;0,03712369;0,005609718;
803,241;0,0375275;0,006105379;
805,105;0,03791452;0,006583614;
806,969;0,03833008;0,00708976;
808,832;0,03954355;0,008393185;
810,696;0,04111251;0,01005148;
812,560;0,04159718;0,01062488;
814,423;0,04251347;0,01162928;
816,287;0,04550305;0,01470638;
818,151;0,05210076;0,021391;
820,014;0,06684711;0,03622368;
821,878;0,09548246;0,06494476;
823,742;0,1261909;0,09573834;
825,605;0,1239415;0,09357358;
827,469;0,0908933;0,06060935;
829,333;0,06496026;0,03475975;
831,196;0,05732106;0,02720343;
833,060;0,05495162;0,02491631;
834,924;0,0485005;0,01854697;
836,787;0,04161737;0,01174508;
838,651;0,03801893;0,008227325;
840,515;0,0366239;0,006912451;
842,378;0,03576497;0,006133141;
844,242;0,03507641;0,005523673;
846,106;0,03469123;0,005217069;
