;Apr09_TPC_0-1-0_LMW_salt;Apr09_TPC_0-1-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1977213;0,07998587;
652,284;0,2003578;0,08357566;
654,148;0,2013485;0,08551147;
656,011;0,199419;0,08451907;
657,875;0,1952365;0,08126578;
659,739;0,1897323;0,07668286;
661,602;0,1845342;0,0723982;
663,466;0,1801343;0,06890417;
665,330;0,1764136;0,06608167;
667,193;0,1758219;0,06638072;
669,057;0,1786548;0,07009686;
670,921;0,17883;0,071148;
672,784;0,1809754;0,07416197;
674,648;0,1848344;0,0788825;
676,512;0,1902672;0,0851696;
678,375;0,1966235;0,09237325;
680,239;0,2045273;0,1011174;
682,103;0,2135965;0,1110201;
683,966;0,2248805;0,1231308;
685,830;0,2379391;0,1370093;
687,694;0,2547242;0,1546078;
689,557;0,2745803;0,1752705;
691,421;0,294787;0,1962775;
693,285;0,3080933;0,2103774;
695,149;0,3073883;0,2104598;
697,012;0,2894774;0,19333;
698,876;0,2644204;0,1690479;
700,740;0,2433263;0,1487224;
702,603;0,2302743;0,136433;
704,467;0,2210154;0,1279305;
706,331;0,2135482;0,1212139;
708,194;0,2086434;0,1170537;
710,058;0,2068359;0,1159849;
711,922;0,2044215;0,1143035;
713,785;0,195955;0,1065642;
715,649;0,1772975;0,08862823;
717,513;0,1520389;0,06408554;
719,376;0,1274022;0,04015921;
721,240;0,1091451;0,02260702;
723,104;0,09779425;0,0119556;
724,967;0,09109279;0,005948174;
726,831;0,08738029;0,002924394;
728,695;0,08566292;0,001890452;
730,558;0,08479455;0,0017003;
732,422;0,08437991;0,001958694;
734,286;0,08428174;0,002528452;
736,149;0,08460374;0,003513299;
738,013;0,08507583;0,004643234;
739,877;0,08557743;0,005797708;
741,740;0,08628555;0,007153791;
743,604;0,08737091;0,008882246;
745,468;0,08816731;0,01031692;
747,331;0,08889416;0,01167728;
749,195;0,08968886;0,01310076;
751,059;0,09041308;0,0144491;
752,922;0,09112622;0,01578173;
754,786;0,0919722;0,0172426;
756,650;0,09284958;0,01873035;
758,513;0,0936525;0,02013913;
760,377;0,0942933;0,02138135;
762,241;0,09499761;0,02268268;
764,104;0,09584544;0,02412315;
765,968;0,09682963;0,02569568;
767,832;0,09752557;0,02697567;
769,695;0,09831355;0,02834346;
771,559;0,09912566;0,02973118;
773,423;0,09996448;0,03114146;
775,286;0,1009718;0,03271617;
777,150;0,1022475;0,03455507;
779,014;0,1034037;0,03627048;
780,877;0,1045104;0,03793249;
782,741;0,1053935;0,03936685;
784,605;0,1059653;0,04048599;
786,468;0,1063488;0,0414129;
788,332;0,1067723;0,04237601;
790,196;0,1071022;0,04324178;
792,059;0,1077866;0,04445821;
793,923;0,1086451;0,04584497;
795,787;0,1098992;0,04762363;
797,650;0,1113983;0,04964358;
799,514;0,1129384;0,051701;
801,378;0,1144817;0,0537579;
803,241;0,1161543;0,05594059;
805,105;0,1176493;0,05794211;
806,969;0,1190571;0,05985297;
808,832;0,1201617;0,06145716;
810,696;0,1209891;0,06278064;
812,560;0,1215607;0,06384503;
814,423;0,1222289;0,06500249;
816,287;0,1230354;0,06629498;
818,151;0,1245205;0,06826276;
820,014;0,1266982;0,07091988;
821,878;0,1297143;0,07441213;
823,742;0,1334635;0,07863414;
825,605;0,1383576;0,08399796;
827,469;0,1441549;0,09026184;
829,333;0,1499777;0,09654797;
831,196;0,1543447;0,1013753;
833,060;0,156194;0,1036818;
834,924;0,156019;0,1039609;
836,787;0,156446;0,104839;
838,651;0,1569515;0,1057926;
840,515;0,1562732;0,1055594;
842,378;0,1567364;0,1064647;
844,242;0,1606198;0,1107874;
846,106;0,1675579;0,1181619;
847,969;0,1786807;0,1297182;
849,833;0,1963324;0,1478005;
851,697;0,2239879;0,1758837;
853,560;0,2578249;0,2101457;
855,424;0,2729236;0,2256666;
857,288;0,2451495;0,198312;
859,151;0,1998091;0,1533884;
861,015;0,1698419;0,1238352;
862,879;0,1584278;0,1128325;
864,742;0,1574687;0,1122821;
866,606;0,1623698;0,1175892;
