;Apr27_TPC_08-02-0_LMW_salt;Apr27_TPC_08-02-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,05415218;0,009011325;
652,284;0,05615234;0,01128071;
654,148;0,05694266;0,0123372;
656,011;0,05627513;0,01193282;
657,875;0,05458841;0,01050628;
659,739;0,05234778;0,00852289;
661,602;0,05046848;0,006897948;
663,466;0,04940065;0,006081618;
665,330;0,04878208;0,005711748;
667,193;0,04820009;0,005375683;
669,057;0,04726673;0,004685505;
670,921;0,04519784;0,002857115;
672,784;0,04281744;0,0007145563;
674,648;0,04081942;-0,001048249;
676,512;0,03966837;-0,001966668;
678,375;0,03911246;-0,002292486;
680,239;0,03869257;-0,002484813;
682,103;0,03838737;-0,002564922;
683,966;0,03835576;-0,002373887;
685,830;0,03831758;-0,002191838;
687,694;0,03861069;-0,001680881;
689,557;0,03893068;-0,001145389;
691,421;0,03926114;-0,0006017453;
693,285;0,03946612;-0,000185872;
695,149;0,03926685;-0,0001764993;
697,012;0,03839445;-0,0008424845;
698,876;0,03710322;-0,001929503;
700,740;0,03596094;-0,002869724;
702,603;0,03542814;-0,003202609;
704,467;0,03532956;-0,003103391;
706,331;0,03517412;-0,003063102;
708,194;0,03491498;-0,003128579;
710,058;0,03504459;-0,00280733;
711,922;0,03523814;-0,002424142;
713,785;0,03598689;-0,00148773;
715,649;0,03660017;-0,0006887331;
717,513;0,03588589;-0,001219229;
719,376;0,03554461;-0,001378622;
721,240;0,03549833;-0,001244881;
723,104;0,03523804;-0,001327015;
724,967;0,03522686;-0,001161857;
726,831;0,03519948;-0,001014705;
728,695;0,03537953;-0,0006619012;
730,558;0,03540951;-0,000460934;
732,422;0,03564213;-5,905912E-5;
734,286;0,03594732;0,0004136814;
736,149;0,03599418;0,0006263917;
738,013;0,03597626;0,0007726507;
739,877;0,03605871;0,001017624;
741,740;0,03606228;0,001182091;
743,604;0,03626547;0,001544573;
745,468;0,03657253;0,002009343;
747,331;0,03659187;0,002184809;
749,195;0,03664817;0,002395695;
751,059;0,03694775;0,00284833;
752,922;0,03711478;0,003166899;
754,786;0,03727346;0,003475625;
756,650;0,03774774;0,004098475;
758,513;0,03829707;0,004794924;
760,377;0,03859138;0,005234917;
762,241;0,03909174;0,005879525;
764,104;0,03981004;0,006740685;
765,968;0,04023864;0,00731075;
767,832;0,04065968;0,007871884;
769,695;0,04125038;0,008601321;
771,559;0,0420286;0,009516948;
773,423;0,04280256;0,01042699;
775,286;0,043089;0,01084821;
777,150;0,04321219;0,01110488;
779,014;0,04333281;0,01135772;
780,877;0,04316735;0,01132322;
782,741;0,04289179;0,01117737;
784,605;0,04287992;0,01129397;
786,468;0,0428638;0,01140512;
788,332;0,04297692;0,01164431;
790,196;0,04335469;0,01214696;
792,059;0,04382593;0,0127419;
793,923;0,04421455;0,01325308;
795,787;0,04449142;0,01365135;
797,650;0,04438533;0,01366553;
799,514;0,04406372;0,01346307;
801,378;0,0433434;0,0128608;
803,241;0,04273592;0,01237027;
805,105;0,04248131;0,01223153;
806,969;0,04280753;0,01267255;
808,832;0,04483712;0,01481589;
810,696;0,04718066;0,01727214;
812,560;0,04788164;0,01808479;
814,423;0,05136145;0,02167526;
816,287;0,0609587;0,03138215;
818,151;0,08036269;0,05089479;
820,014;0,1193188;0,08995855;
821,878;0,1826939;0,1534403;
823,742;0,2308733;0,2017255;
825,605;0,196992;0,167949;
827,469;0,1176364;0,08869719;
829,333;0,06428026;0,03544394;
831,196;0,04407787;0,01534353;
833,060;0,03827244;0,009639167;
834,924;0,035726;0,007192902;
836,787;0,03395874;0,005524915;
838,651;0,03290151;0,004566086;
840,515;0,03249431;0,004256413;
842,378;0,03226392;0,004122682;
844,242;0,0319026;0,00385718;
846,106;0,0318216;0,003871148;
847,969;0,03185238;0,003996068;
849,833;0,03181215;0,004049158;
851,697;0,03180517;0,004134672;
853,560;0,03210815;0,004529352;
855,424;0,03235666;0,00486875;
857,288;0,03219392;0,004796125;
859,151;0,03210548;0,004797009;
861,015;0,03218808;0,004968162;
862,879;0,03241646;0,005284335;
864,742;0,03275731;0,005712229;
866,606;0,03283757;0,005878777;
868,470;0,03277329;0,005900045;
870,333;0,03280684;0,006018411;
872,197;0,03289382;0,006189488;
874,061;0,0330754;0,006454455;
875,924;0,0331315;0,006593228;
877,788;0,03308656;0,006630257;
879,652;0,03307389;0,006698866;
881,515;0,03343716;0,007142724;
883,379;0,03366851;0,007453996;
885,243;0,03368445;0,007549169;
887,106;0,03380842;0,007751722;
888,970;0,03432719;0,008348408;
890,834;0,03469084;0,008789333;
892,697;0,03477756;0,008952675;
894,561;0,03492812;0,009179223;
896,425;0,03513014;0,009456609;
898,288;0,03546351;0,009864712;
900,152;0,03583963;0,01031495;
902,016;0,03614958;0,0106984;
903,879;0,03643351;0,01105523;
905,743;0,03680653;0,01150055;
907,607;0,03695204;0,01171777;
909,470;0,03721656;0,01205342;
911,334;0,03771929;0,01262668;
913,198;0,03801133;0,01298869;
915,061;0,03833396;0,01338072;
916,925;0,03866265;0,01377825;
918,789;0,03898685;0,01417072;
920,652;0,0391749;0,0144265;
922,516;0,03923371;0,01455249;
924,380;0,03950077;0,01488619;
926,243;0,04007967;0,01553119;
928,107;0,0404955;0,0160126;
929,971;0,04059966;0,0161818;
931,834;0,04081418;0,01646085;
933,698;0,04129164;0,01700233;
935,562;0,04170733;0,01748153;
937,425;0,04200312;0,01784032;
939,289;0,04228411;0,01818381;
941,153;0,04264533;0,01860704;
943,016;0,04304033;0,01906356;
944,880;0,04350476;0,01958902;
946,744;0,04373232;0,01987714;
948,607;0,04409823;0,02030314;
950,471;0,04464233;0,02090685;
952,335;0,04503866;0,02136232;
954,198;0,04531031;0,02169266;
956,062;0,04569965;0,02214022;
957,926;0,04621334;0,02271168;
959,789;0,04680964;0,02336531;
961,653;0,04732637;0,02393892;
963,517;0,04788905;0,02455805;
965,380;0,04853225;0,02525726;
967,244;0,04927632;0,02605691;
969,108;0,04993486;0,0267706;
970,972;0,0506018;0,02749227;
972,835;0,05128526;0,02823004;
974,699;0,05191597;0,02891465;
976,563;0,05261697;0,02966914;
978,426;0,05347456;0,0305798;
980,290;0,05413103;0,03128894;
982,154;0,05481298;0,03202317;
984,017;0,05567977;0,03294185;
985,881;0,05648741;0,03380097;
987,745;0,05732157;0,03468623;
989,608;0,05814963;0,03556501;
991,472;0,05900759;0,03647331;
993,336;0,05984127;0,03735695;
995,199;0,06046576;0,03803103;
997,063;0,06109721;0,03871169;
998,927;0,06163117;0,03929451;
1000,790;0,06224492;0,03995675;
1002,654;0,06283262;0,04059257;
1004,518;0,06320901;0,04101673;
1006,381;0,06336474;0,04121988;
1008,245;0,06346202;0,04136423;
1010,109;0,06362844;0,04157737;
1011,972;0,06389632;0,04189162;
1013,836;0,06400385;0,04204518;
1015,700;0,06420493;0,04229197;
1017,563;0,06449741;0,04262981;
1019,427;0,06489774;0,04307518;
1021,291;0,065438;0,04366014;
1023,154;0,06607762;0,04434414;
1025,018;0,06687992;0,0451905;
1026,882;0,06778911;0,04614344;
1028,745;0,06844071;0,04683845;
1030,609;0,06912114;0,047562;
1032,473;0,0698824;0,04836605;
1034,336;0,07084964;0,04937578;
1036,200;0,07190227;0,0504706;
1038,064;0,07298372;0,05159393;
1039,927;0,07416763;0,05281943;
1041,791;0,07534618;0,05403927;
1043,655;0,07657694;0,05531102;
1045,518;0,07835415;0,05712893;
1047,382;0,08071367;0,05952886;
1049,246;0,08319681;0,06205212;
1051,109;0,08360447;0,06249963;
1052,973;0,08322555;0,06216027;
1054,837;0,0843779;0,06335189;
1056,700;0,08613427;0,06514726;
1058,564;0,08786715;0,06691887;
1060,428;0,08978593;0,06887611;
1062,291;0,09191021;0,07103858;
1064,155;0,09403571;0,07320201;
1066,019;0,09631011;0,07551406;
1067,882;0,0988784;0,07811974;
1069,746;0,1015981;0,08087659;
1071,610;0,1044492;0,08376452;
1073,473;0,1073796;0,08673161;
1075,337;0,1103398;0,08972818;
1077,201;0,1133879;0,09281236;
1079,064;0,1165096;0,09596995;
1080,928;0,1193982;0,09889413;
1082,792;0,1220226;0,1015539;
1084,655;0,1241093;0,1036757;
1086,519;0,1254541;0,1050554;
1088,383;0,1262498;0,1058858;
1090,246;0,1270986;0,106769;
1092,110;0,1279306;0,1076352;
1093,974;0,1284548;0,1081933;
1095,837;0,1288168;0,108589;
1097,701;0,1293866;0,1091923;
1099,565;0,1298516;0,1096906;
1101,428;0,1302078;0,1100798;
1103,292;0,1305688;0,1104736;
1105,156;0,1310337;0,1109712;
1107,019;0,1315395;0,1115093;
1108,883;0,1319783;0,1119803;
1110,747;0,1322381;0,1122721;
1112,610;0,1321902;0,1122558;
1114,474;0,1320057;0,1121029;
1116,338;0,1320998;0,1122283;
1118,201;0,1322379;0,1123975;
1120,065;0,1323508;0,1125413;
1121,929;0,1323546;0,1125758;
1123,792;0,132317;0,1125686;
1125,656;0,1321162;0,1123982;
1127,520;0,1319818;0,1122938;
1129,383;0,1317777;0,1121196;
1131,247;0,131479;0,1118506;
1133,111;0,131067;0,1114681;
1134,974;0,130766;0,1111964;
1136,838;0,1303814;0,1108409;
