;Jun02_TPC_1-0-0_LMW_salt;Jun02_TPC_1-0-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,05365097;0,01269519;
652,284;0,05493149;0,01415188;
654,148;0,05545989;0,01485494;
656,011;0,0552029;0,01477112;
657,875;0,0541881;0,01392802;
659,739;0,05284478;0,01275495;
661,602;0,05204122;0,01212021;
663,466;0,05229386;0,01254025;
665,330;0,05285492;0,0132673;
667,193;0,05377101;0,01434799;
669,057;0,05462801;0,01536821;
670,921;0,05245267;0,01335474;
672,784;0,04868883;0,00975143;
674,648;0,04488031;0,006102104;
676,512;0,04205918;0,003438852;
678,375;0,03992409;0,00146035;
680,239;0,03842748;0,0001190359;
682,103;0,03732595;-0,0008284633;
683,966;0,03649121;-0,001510434;
685,830;0,03592491;-0,001925207;
687,694;0,03567017;-0,002029657;
689,557;0,03543253;-0,002118211;
691,421;0,03515154;-0,00225133;
693,285;0,03500788;-0,002248309;
695,149;0,0349376;-0,002173085;
697,012;0,03498268;-0,001983661;
698,876;0,0349164;-0,001906755;
700,740;0,0346901;-0,001991004;
702,603;0,03458066;-0,001959529;
704,467;0,03451529;-0,001885102;
706,331;0,03451599;-0,001745708;
708,194;0,0345244;-0,001599694;
710,058;0,03454995;-0,001437626;
711,922;0,03473472;-0,001117404;
713,785;0,03526911;-0,0004486287;
715,649;0,0353994;-0,0001849977;
717,513;0,03462813;-0,0008239617;
719,376;0,03420404;-0,001116778;
721,240;0,03430522;-0,0008853324;
723,104;0,03431279;-0,0007485083;
724,967;0,03428679;-0,0006462529;
726,831;0,03431053;-0,0004952403;
728,695;0,03425838;-0,0004210904;
730,558;0,03429237;-0,00026177;
732,422;0,03433032;-9,944088E-5;
734,286;0,03431027;3,933219E-6;
736,149;0,03433271;0,0001488749;
738,013;0,03436308;0,0003008098;
739,877;0,03438221;0,0004405951;
741,740;0,0342275;0,000405621;
743,604;0,0340926;0,0003895652;
745,468;0,03411803;0,000532945;
747,331;0,03422225;0,0007542429;
749,195;0,03413087;0,0007790609;
751,059;0,03413816;0,0009016841;
752,922;0,03421696;0,001094967;
754,786;0,03418329;0,001174922;
756,650;0,03410259;0,001207018;
758,513;0,03404376;0,001260159;
760,377;0,0340743;0,001401837;
762,241;0,03404456;0,001482425;
764,104;0,03397335;0,001520737;
765,968;0,0339869;0,001643004;
767,832;0,03403007;0,001794107;
769,695;0,03402686;0,001898042;
771,559;0,03401579;0,001993346;
773,423;0,03412757;0,002210737;
775,286;0,03425992;0,002447933;
777,150;0,03429977;0,00259187;
779,014;0,03428766;0,002683106;
780,877;0,03434;0,002838052;
782,741;0,03442242;0,003022343;
784,605;0,0343913;0,003092372;
786,468;0,0343313;0,003132808;
788,332;0,03444099;0,003342213;
790,196;0,03455459;0,003554829;
792,059;0,03468686;0,003785412;
793,923;0,03489597;0,004092152;
795,787;0,03502577;0,004318885;
797,650;0,03524673;0,00463611;
799,514;0,0354516;0,004936566;
801,378;0,03568854;0,00526843;
803,241;0,03601009;0,005684246;
805,105;0,0366219;0,006389662;
806,969;0,03775483;0,00761555;
808,832;0,03980609;0,009759138;
810,696;0,04178438;0,01182911;
812,560;0,04268345;0,01281923;
814,423;0,04539106;0,01561727;
816,287;0,05195332;0,02226934;
818,151;0,06475139;0,0351566;
820,014;0,09009517;0,06058897;
821,878;0,1323764;0,1029582;
823,742;0,1667128;0,137382;
825,605;0,1465237;0,1172797;
827,469;0,09206378;0,06290598;
829,333;0,05456484;0,02549267;
831,196;0,04055605;0,01156894;
833,060;0,03631984;0,007417213;
834,924;0,03416351;0,005344812;
836,787;0,03272659;0,003991255;
838,651;0,03189424;0,003241711;
840,515;0,0314666;0,002896323;
842,378;0,03100391;0,002515345;
844,242;0,0306685;0,002261109;
846,106;0,03041871;0,002091953;
847,969;0,03026751;0,002020862;
849,833;0,03017405;0,002006977;
851,697;0,03014108;0,002053062;
853,560;0,03005227;0,002042792;
855,424;0,03000774;0,002076285;
857,288;0,02995047;0,002096533;
859,151;0,02995841;0,00218149;
861,015;0,02999565;0,002295249;
862,879;0,03006523;0,002440844;
864,742;0,03007836;0,002529498;
866,606;0,0301045;0,002630682;
868,470;0,0301504;0,002751143;
870,333;0,03019257;0,002867389;
872,197;0,03013908;0,002887514;
874,061;0,03017978;0,003001343;
875,924;0,03028989;0,003184121;
877,788;0,0303124;0,003278846;
879,652;0,03028843;0,003326615;
881,515;0,03031324;0,003422722;
883,379;0,03039296;0,003573291;
885,243;0,03055837;0,003809097;
887,106;0,03064293;0,00396361;
888,970;0,03069031;0,004080505;
890,834;0,03078492;0,004244184;
892,697;0,03097972;0,004507638;
894,561;0,03119057;0,004786702;
896,425;0,03132345;0,004987372;
898,288;0,03145841;0,005189708;
900,152;0,03161442;0,005412669;
902,016;0,03182304;0,005687826;
903,879;0,03202038;0,005951294;
905,743;0,03221482;0,006211448;
907,607;0,03244958;0,006511524;
909,470;0,03254961;0,006676469;
911,334;0,03267045;0,006861826;
913,198;0,03274475;0,007000247;
915,061;0,03287114;0,007190366;
916,925;0,03311772;0,007500282;
918,789;0,03331784;0,007763356;
920,652;0,033428;0,007936093;
922,516;0,03361689;0,008187176;
924,380;0,03384156;0,008473672;
926,243;0,03418008;0,008873635;
928,107;0,03440568;0,009160312;
929,971;0,03459486;0,009410202;
931,834;0,03485893;0,009734621;
933,698;0,0351184;0,01005408;
935,562;0,03533101;0,01032632;
937,425;0,0356063;0,01066088;
939,289;0,03584661;0,0109601;
941,153;0,03605465;0,01122672;
943,016;0,03625331;0,0114836;
944,880;0,03650469;0,01179285;
946,744;0,03672815;0,01207386;
948,607;0,03702803;0,01243093;
950,471;0,03736295;0,01282272;
952,335;0,03768546;0,01320175;
954,198;0,0379138;0,0134863;
956,062;0,03807197;0,01370034;
957,926;0,03836062;0,01404452;
959,789;0,03876506;0,01450418;
961,653;0,03916912;0,01496314;
963,517;0,03953284;0,01538145;
965,380;0,03986791;0,01577079;
967,244;0,0403191;0,01627593;
969,108;0,04077933;0,0167898;
970,972;0,04126178;0,01732558;
972,835;0,0417498;0,01786663;
974,699;0,04219804;0,0183676;
976,563;0,04267953;0,01890151;
978,426;0,04329327;0,01956736;
980,290;0,04390783;0,02023375;
982,154;0,04454345;0,0209209;
984,017;0,04506487;0,02149356;
985,881;0,04562765;0,02210728;
987,745;0,04625088;0,02278118;
989,608;0,04688989;0,02347056;
991,472;0,04747636;0,02410712;
993,336;0,04797221;0,02465278;
995,199;0,04845948;0,02518958;
997,063;0,04906242;0,02584177;
998,927;0,0496799;0,02650822;
1000,790;0,05022244;0,02709946;
1002,654;0,05068504;0,02761049;
1004,518;0,05111081;0,02808443;
1006,381;0,05130043;0,02832194;
1008,245;0,05137302;0,02844216;
1010,109;0,05145816;0,02857466;
1011,972;0,05164814;0,02881176;
1013,836;0,05187453;0,02908498;
1015,700;0,05215418;0,02941122;
1017,563;0,05246802;0,02977139;
1019,427;0,05298022;0,03032967;
1021,291;0,05367957;0,03107484;
1023,154;0,0543505;0,03179135;
1025,018;0,05496077;0,03244695;
1026,882;0,05561527;0,03314652;
1028,745;0,05627836;0,03385445;
1030,609;0,05702041;0,03464109;
1032,473;0,05790061;0,03556565;
1034,336;0,05881965;0,0365288;
1036,200;0,0597546;0,03750763;
1038,064;0,06079838;0,03859504;
1039,927;0,06190659;0,03974665;
1041,791;0,06316637;0,04104961;
1043,655;0,06449196;0,04241814;
1045,518;0,06607718;0,04404606;
1047,382;0,06807887;0,04609024;
1049,246;0,0701757;0,04822932;
1051,109;0,07075953;0,04885519;
1052,973;0,07095482;0,04909229;
1054,837;0,07231994;0,05049899;
1056,700;0,07406404;0,05228446;
1058,564;0,07583841;0,05409998;
1060,428;0,07774969;0,05605219;
1062,291;0,07973846;0,05808168;
1064,155;0,08191865;0,06030237;
1066,019;0,08421583;0,06263984;
1067,882;0,08651123;0,06497532;
