;Apr08_TPC_1-0-0_LMW_salt;Apr08_TPC_1-0-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1050602;0,02488668;
652,284;0,1056047;0,02612969;
654,148;0,1056483;0,02686188;
656,011;0,1047151;0,02660766;
657,875;0,1027055;0,02526729;
659,739;0,1008071;0,02402884;
661,602;0,09941509;0,02328748;
663,466;0,09927446;0,02378841;
665,330;0,09978393;0,02493047;
667,193;0,1021375;0,02790784;
669,057;0,1025945;0,02898005;
670,921;0,09805221;0,02504436;
672,784;0,09251943;0,02010986;
674,648;0,08618977;0,01437025;
676,512;0,08140919;0,01017162;
678,375;0,07790885;0,00724527;
680,239;0,07518263;0,005085214;
682,103;0,07295579;0,003416837;
683,966;0,07170257;0,002714499;
685,830;0,07078948;0,002344834;
687,694;0,06978231;0,001873755;
689,557;0,06870293;0,001323257;
691,421;0,06787095;0,001013055;
693,285;0,06720429;0,0008611918;
695,149;0,06697424;0,001139067;
697,012;0,06648817;0,001154157;
698,876;0,06584494;0,001005426;
700,740;0,0654585;0,001106942;
702,603;0,06540775;0,001537705;
704,467;0,06505023;0,001655349;
706,331;0,06458674;0,001660775;
708,194;0,06421102;0,001747829;
710,058;0,06404778;0,002041314;
711,922;0,06411301;0,00255732;
713,785;0,06507209;0,003961304;
715,649;0,06517455;0,004502903;
717,513;0,0635482;0,003310016;
719,376;0,06237494;0,002564622;
721,240;0,06219858;0,002810614;
723,104;0,06207641;0,00310538;
724,967;0,06180559;0,003246156;
726,831;0,06142678;0,003273688;
728,695;0,06140767;0,003655745;
730,558;0,06129217;0,00393631;
732,422;0,06096033;0,003995525;
734,286;0,06041125;0,003832542;
736,149;0,06024841;0,00405094;
738,013;0,06015619;0,004335164;
739,877;0,0599562;0,004506893;
741,740;0,05965603;0,004573786;
743,604;0,05919277;0,004473001;
745,468;0,05878799;0,004426198;
747,331;0,05857896;0,004570682;
749,195;0,05830486;0,004645725;
751,059;0,05821202;0,004897707;
752,922;0,05797351;0,004999773;
754,786;0,05771248;0,005075125;
756,650;0,05747105;0,005165951;
758,513;0,05723653;0,005259628;
760,377;0,05694587;0,005293143;
762,241;0,05684899;0,005516503;
764,104;0,0568805;0,00586435;
765,968;0,05675929;0,006055652;
767,832;0,05645952;0,006064609;
769,695;0,05635722;0,006267315;
771,559;0,05627831;0,006489749;
773,423;0,05642266;0,006931817;
775,286;0,05632381;0,007127111;
777,150;0,05616255;0,007256496;
779,014;0,05606684;0,007447963;
780,877;0,05606595;0,007730826;
782,741;0,05608108;0,008026347;
784,605;0,05605397;0,008276318;
786,468;0,05605543;0,008551583;
788,332;0,05613807;0,008904795;
790,196;0,05603554;0,009069667;
792,059;0,05625376;0,009552154;
793,923;0,05675452;0,01031409;
795,787;0,05726439;0,01108209;
797,650;0,05765687;0,01172969;
799,514;0,05820282;0,01252779;
801,378;0,05904809;0,0136223;
803,241;0,06020392;0,01502448;
805,105;0,06184938;0,01691346;
806,969;0,06485132;0,02015611;
808,832;0,07073452;0,02627726;
810,696;0,07647986;0,03225783;
812,560;0,07902131;0,03503181;
814,423;0,08577755;0,04201793;
816,287;0,1022408;0,05870842;
818,151;0,1345642;0,09125649;
820,014;0,1985831;0,1554976;
821,878;0,3082936;0,2654277;
823,742;0,3899034;0,3472547;
825,605;0,3133764;0,2709424;
827,469;0,1810767;0,138855;
829,333;0,1033622;0,06135038;
831,196;0,07403489;0,03223069;
833,060;0,0636489;0,02204997;
834,924;0,05820587;0,01680991;
836,787;0,05481811;0,01362288;
838,651;0,05275302;0,01175631;
840,515;0,05154255;0,01074215;
842,378;0,05045987;0,009853624;
844,242;0,04956254;0,009148312;
846,106;0,04896049;0,008736164;
847,969;0,04855472;0,008518224;
849,833;0,04816921;0,008318487;
851,697;0,0480817;0,008414724;
853,560;0,04812729;0,008642062;
855,424;0,0480299;0,008724449;
857,288;0,04771661;0,008588991;
859,151;0,04778791;0,008836193;
861,015;0,04787819;0,009100481;
862,879;0,04788935;0,009283776;
864,742;0,04786423;0,00942894;
866,606;0,04793281;0,009665977;
