;Apr12_TPC_0-0-1_LMW_salt;Apr12_TPC_0-0-1_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1213417;-0,0007002933;
652,284;0,1210118;-0,0003017606;
654,148;0,1206793;8,800693E-5;
656,011;0,1201656;0,0002903114;
657,875;0,1198851;0,0007198579;
659,739;0,1193789;0,0009176888;
661,602;0,1187877;0,001024459;
663,466;0,1181033;0,001032227;
665,330;0,1172437;0,0008590563;
667,193;0,1176297;0,00192568;
669,057;0,1184999;0,003470828;
670,921;0,1176035;0,003243702;
672,784;0,1173873;0,003691287;
674,648;0,117202;0,004164321;
676,512;0,117036;0,004651119;
678,375;0,1164782;0,004740851;
680,239;0,1160993;0,005004108;
682,103;0,1158537;0,005395345;
683,966;0,1158393;0,006012655;
685,830;0,1157331;0,006533099;
687,694;0,115631;0,007052438;
689,557;0,115326;0,00736383;
691,421;0,1151673;0,007816652;
693,285;0,1149309;0,008186754;
695,149;0,1146001;0,008457691;
697,012;0,1141877;0,008642062;
698,876;0,1140363;0,009082726;
700,740;0,1137091;0,00934294;
702,603;0,1132815;0,00949802;
704,467;0,1127437;0,009538325;
706,331;0,1123271;0,009695204;
708,194;0,1118615;0,00979863;
710,058;0,1112523;0,009753882;
711,922;0,11046;0,009521684;
713,785;0,1099036;0,009520973;
715,649;0,1092104;0,009379179;
717,513;0,1085808;0,009296674;
719,376;0,1080446;0,009303301;
721,240;0,1075075;0,009304802;
723,104;0,1068492;0,009180992;
724,967;0,1064706;0,009332662;
726,831;0,1060821;0,009470455;
728,695;0,105565;0,009475583;
730,558;0,1049888;0,009417693;
732,422;0,1046613;0,009604502;
734,286;0,1041279;0,009581455;
736,149;0,1036247;0,00958481;
738,013;0,10316;0,009622803;
739,877;0,1026698;0,009631427;
741,740;0,1020609;0,009517718;
743,604;0,1014713;0,009419542;
745,468;0,1010034;0,009439402;
747,331;0,1006647;0,009584786;
749,195;0,1001016;0,009502163;
751,059;0,0997952;0,009672651;
752,922;0,09958225;0,009933077;
754,786;0,09942587;0,01024657;
756,650;0,09944288;0,01072999;
758,513;0,09977147;0,01152154;
760,377;0,10034;0,01254969;
762,241;0,1012159;0,01388174;
764,104;0,1017902;0,0149089;
765,968;0,1018474;0,01541564;
767,832;0,1004688;0,01448338;
769,695;0,09744395;0,0119016;
771,559;0,09438748;0,009284991;
773,423;0,09265699;0,007991179;
775,286;0,09183313;0,007600847;
777,150;0,09148518;0,007683315;
779,014;0,09115377;0,007779236;
780,877;0,09082294;0,007872689;
782,741;0,09046927;0,007940264;
784,605;0,08995704;0,007846291;
786,468;0,08928781;0,007592341;
788,332;0,08861965;0,00733652;
790,196;0,08768325;0,006809549;
792,059;0,08676204;0,006294878;
793,923;0,08587773;0,005814248;
795,787;0,08528277;0,005620131;
797,650;0,08497374;0,005709148;
799,514;0,08473923;0,005869897;
801,378;0,08433486;0,005858034;
803,241;0,08365608;0,005569033;
805,105;0,08268338;0,004983399;
806,969;0,08204697;0,00473139;
808,832;0,08241868;0,005484835;
810,696;0,08346735;0,006912619;
812,560;0,084429;0,008250778;
814,423;0,08539816;0,009593856;
816,287;0,08618968;0,01075674;
818,151;0,0865436;0,01147949;
820,014;0,08653824;0,01184045;
821,878;0,08621925;0,01188529;
823,742;0,08555376;0,01158117;
825,605;0,0848976;0,01128393;
827,469;0,08375984;0,01050266;
829,333;0,08203449;0,009131406;
831,196;0,08022223;0,007670867;
833,060;0,07888714;0,006685131;
834,924;0,07815775;0,006302763;
836,787;0,07759675;0,006086474;
838,651;0,07631475;0,005146877;
840,515;0,07473017;0,003902438;
842,378;0,07341823;0,002928371;
844,242;0,07226586;0,002111648;
846,106;0,07116947;0,001348687;
847,969;0,07017626;0,0006867089;
849,833;0,0693466;0,0001861139;
851,697;0,06866161;-0,0001719796;
853,560;0,06798412;-0,0005247117;
855,424;0,067548;-0,0006381933;
857,288;0,06731927;-0,0005463862;
859,151;0,06733945;-0,0002077449;
861,015;0,06773618;0,0005053737;
862,879;0,06844453;0,00152806;
864,742;0,06957708;0,002972919;
866,606;0,07094459;0,004650732;
868,470;0,0721466;0,006161041;
870,333;0,07308623;0,007406995;
872,197;0,07382668;0,008451804;
874,061;0,07454982;0,009477363;
875,924;0,07517347;0,01040151;
877,788;0,07579126;0,01131787;
879,652;0,07637079;0,01219408;
881,515;0,0759099;0,012028;
883,379;0,07397402;0,01038505;
885,243;0,07197971;0,008681835;
887,106;0,07037717;0,007368552;
888,970;0,06903734;0,006316157;
890,834;0,06785011;0,00541457;
892,697;0,06694542;0,004793726;
894,561;0,06611834;0,004248725;
896,425;0,06532992;0,003740631;
898,288;0,064689;0,003378284;
900,152;0,06408675;0,003052882;
902,016;0,06349233;0,002733594;
903,879;0,06296552;0,002480219;
905,743;0,06251597;0,002302423;
907,607;0,06214931;0,002205839;
909,470;0,06195119;0,00227614;
911,334;0,06213713;0,002728856;
913,198;0,0626149;0,003471766;
915,061;0,06318786;0,004308247;
916,925;0,06373583;0,005118138;
918,789;0,06427439;0,005917018;
920,652;0,06483806;0,006739439;
922,516;0,06538549;0,00754404;
924,380;0,06575522;0,008169403;
926,243;0,06601418;0,008682448;
928,107;0,06613328;0,009054097;
929,971;0,06614309;0,00931495;
931,834;0,06605642;0,009477813;
933,698;0,06600322;0,00967265;
935,562;0,06588245;0,009798444;
937,425;0,06586245;0,01002354;
939,289;0,06583259;0,0102373;
941,153;0,06578915;0,01043606;
943,016;0,06593677;0,01082443;
944,880;0,06618295;0,01130994;
946,744;0,0663584;0,01172331;
948,607;0,06663643;0,01223786;
950,471;0,066928;0,01276455;
952,335;0,06724359;0,01331389;
954,198;0,0676559;0,01395858;
956,062;0,06804424;0,01457794;
957,926;0,06844802;0,0152114;
959,789;0,06899341;0,01598512;
961,653;0,06957957;0,0167983;
963,517;0,07020619;0,01765061;
965,380;0,07078317;0,01845198;
967,244;0,07147973;0,01937164;
969,108;0,07222807;0,02034179;
970,972;0,07295896;0,02129321;
972,835;0,07362381;0,02217733;
