;May10_TPC_04-06-0_LMW_salt;May10_TPC_04-06-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,04714531;0,01581664;
652,284;0,04935113;0,0181805;
654,148;0,05145423;0,02043985;
656,011;0,05238072;0,02152081;
657,875;0,05157922;0,02087204;
659,739;0,04979654;0,01924037;
661,602;0,04808971;0,01768285;
663,466;0,04716908;0,01690986;
665,330;0,04658477;0,01647154;
667,193;0,04629608;0,01632721;
669,057;0,04630217;0,01647606;
670,921;0,0443511;0,01466617;
672,784;0,04121366;0,01166835;
674,648;0,03810993;0,008702691;
676,512;0,03602296;0,006752288;
678,375;0,03450819;0,00537258;
680,239;0,03347869;0,00447667;
682,103;0,03282907;0,00395918;
683,966;0,0323823;0,00364311;
685,830;0,03207292;0,003463009;
687,694;0,03211725;0,003635222;
689,557;0,0320348;0,003679271;
691,421;0,03183207;0,003601684;
693,285;0,03168535;0,003578766;
695,149;0,03162456;0,003640454;
697,012;0,03176086;0,003897924;
698,876;0,03194244;0,004199383;
700,740;0,03179172;0,004167279;
702,603;0,03161734;0,004110255;
704,467;0,03172695;0,004335973;
706,331;0,03185214;0,004576059;
708,194;0,03175768;0,004595292;
710,058;0,03187469;0,004824798;
711,922;0,03220307;0,005264497;
713,785;0,03290933;0,006080917;
715,649;0,03311737;0,006397975;
717,513;0,03232134;0,005709836;
719,376;0,03182884;0,005324109;
721,240;0,03186225;0,005463186;
723,104;0,03191493;0,005620455;
724,967;0,03204226;0,005851301;
726,831;0,03196329;0,005874784;
728,695;0,03191503;0,005927928;
730,558;0,03196806;0,006081337;
732,422;0,03193906;0,006151696;
734,286;0,03185366;0,006164647;
736,149;0,03177064;0,006178989;
738,013;0,03167035;0,006175067;
739,877;0,03168403;0,006284165;
741,740;0,03171644;0,006411021;
743,604;0,03172842;0,006516505;
745,468;0,0317214;0,006602062;
747,331;0,03172951;0,006701824;
749,195;0,03172418;0,006787244;
751,059;0,03170324;0,006856147;
752,922;0,03189392;0,007135787;
754,786;0,03199823;0,007328177;
756,650;0,03193637;0,007353533;
758,513;0,03186595;0,007369471;
760,377;0,03180779;0,007396831;
762,241;0,03192555;0,007599272;
764,104;0,03207345;0,00783103;
765,968;0,03201924;0,007859865;
767,832;0,03207024;0,007993103;
769,695;0,03224096;0,00824527;
771,559;0,03223188;0,008316848;
773,423;0,03216955;0,008334398;
775,286;0,03229278;0,00853675;
777,150;0,03248334;0,00880567;
779,014;0,03261046;0,009010399;
780,877;0,0327424;0,009219219;
782,741;0,03279184;0,009344796;
784,605;0,03285968;0,009488058;
786,468;0,03292195;0,009625038;
788,332;0,03306972;0,009846807;
790,196;0,03318356;0,01003396;
792,059;0,03327149;0,0101945;
793,923;0,03338825;0,0103832;
795,787;0,03363296;0,01069918;
797,650;0,03394232;0,01107914;
799,514;0,03427633;0,0114831;
801,378;0,03466334;0,0119394;
803,241;0,03527217;0,01261689;
805,105;0,03612754;0,01354028;
806,969;0,0376562;0,01513633;
808,832;0,04050488;0,01805178;
810,696;0,04336853;0,02098159;
812,560;0,04486202;0,02254064;
814,423;0,04857235;0,02631592;
816,287;0,05758101;0,03538895;
818,151;0,07561797;0,05348969;
820,014;0,1113118;0,08924669;
821,878;0,1688958;0,1468934;
823,742;0,2119728;0,1900324;
825,605;0,1815479;0,159669;
827,469;0,111388;0,08957011;
829,333;0,06466149;0,04290397;
831,196;0,04709095;0,02539329;
833,060;0,04204937;0,02041104;
834,924;0,03970803;0,0181285;
836,787;0,03732306;0,0158018;
838,651;0,03505406;0,01359057;
840,515;0,03370334;0,0122971;
842,378;0,03312405;0,01177456;
844,242;0,03270372;0,01141047;
846,106;0,03245133;0,01121383;
847,969;0,032384;0,01120176;
849,833;0,03230772;0,01118026;
851,697;0,03215434;0,01108118;
853,560;0,0321178;0,01109847;
855,424;0,03224567;0,0112797;
857,288;0,0321991;0,01128602;
859,151;0,03212111;0,01126047;
861,015;0,03215581;0,01134715;
862,879;0,03238122;0,0116241;
864,742;0,03245019;0,01174416;
866,606;0,03248994;0,01183456;
868,470;0,03256668;0,01196152;
870,333;0,03258222;0,01202685;
872,197;0,03266266;0,01215667;
874,061;0,03278602;0,01232897;
875,924;0,03280332;0,0123948;
877,788;0,0328714;0,012511;
879,652;0,03299414;0,01268145;
881,515;0,0331118;0,01284642;
883,379;0,033152;0,01293353;
885,243;0,03317975;0,0130078;
887,106;0,03330887;0,01318305;
888,970;0,03344528;0,0133652;
890,834;0,03353038;0,01349565;
892,697;0,03373636;0,01374661;
894,561;0,0338995;0,01395436;
896,425;0,03402541;0,01412451;
898,288;0,03422459;0,01436757;
900,152;0,03443104;0,01461752;
902,016;0,03461049;0,01484012;
903,879;0,03483275;0,01510517;
905,743;0,03500947;0,01532433;
907,607;0,03519914;0,0155561;
909,470;0,03535696;0,01575567;
911,334;0,0355169;0,01595702;
913,198;0,03567327;0,01615447;
915,061;0,03586722;0,01638915;
916,925;0,03604707;0,01660941;
918,789;0,03622433;0,01682674;
920,652;0,03646511;0,01710728;
922,516;0,03670357;0,01738518;
924,380;0,03693288;0,01765361;
926,243;0,03727878;0,01803832;
928,107;0,03762675;0,01842478;
929,971;0,03789514;0,01873135;
931,834;0,03813445;0,01900854;
933,698;0,03840869;0,01932036;
935,562;0,03871959;0,01966855;
937,425;0,03909063;0,02007656;
939,289;0,03947259;0,02049521;
941,153;0,0398895;0,02094853;
943,016;0,04018462;0,02127976;
944,880;0,04044301;0,02157398;
946,744;0,04068509;0,0218516;
948,607;0,04103509;0,02223687;
950,471;0,04144089;0,02267768;
952,335;0,04181157;0,02308307;
954,198;0,04219016;0,02349611;
956,062;0,04257346;0,02391359;
957,926;0,04295857;0,02433262;
959,789;0,04344782;0,02485551;
961,653;0,04401391;0,025455;
